VALEUR,#mademoiselle-de-brie,#moliere,#mademoiselle-bejart,#duparc,#bejart-aine,#mademoiselle-de-brie #mademoiselle-bejart #duparc #bejart-aine,#alain,#le-comte,#le-marquis,#du-parc,#angelique,#bellerose,#purgon,#mademoisele-de-brie,#bejart,#monsieur-dimanche,#tous
Fréquences (scènes),0.3125,0.875,0.1875,0.4375,0.0625,0.0625,0.25,0.125,0.0625,0.0625,0.375,0.125,0.125,0.0625,0.0625,0.1875,0.0625
Fréquences(répliques),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.11827956989247312,0.1827956989247312,0.07526881720430108,0.13978494623655913,0.026881720430107527,0.026881720430107527,0.05913978494623656,0.026881720430107527,0.021505376344086023,0.021505376344086023,0.07526881720430108,0.026881720430107527,0.05913978494623656,0.026881720430107527,0.026881720430107527,0.053763440860215055,0.03225806451612903
Déviations,#mademoiselle-de-brie,#moliere,#mademoiselle-bejart,#duparc,#bejart-aine,#mademoiselle-de-brie #mademoiselle-bejart #duparc #bejart-aine,#alain,#le-comte,#le-marquis,#du-parc,#angelique,#bellerose,#purgon,#mademoisele-de-brie,#bejart,#monsieur-dimanche,#tous
#mademoiselle-de-brie,7.5625,0.03214285714285714,4.5375,3.6160714285714284,1.5125,1.5125,0.05,0.625,0.3125,0.3125,0.4083333333333333,0.625,3.025,1.5125,1.5125,0.004166666666666667,1.5125
#moliere,0.03214285714285714,0.25,0.1488095238095238,0.002551020408163265,0.017857142857142856,0.017857142857142856,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.011904761904761904,0.03571428571428571,0.32142857142857145,0.875,0.875,0.05357142857142857,0.017857142857142856
#mademoiselle-bejart,4.5375,0.1488095238095238,10.5625,2.169642857142857,3.5208333333333335,3.5208333333333335,0.08333333333333333,0.375,0.1875,0.1875,1.125,0.375,1.0416666666666667,3.5208333333333335,3.5208333333333335,0.5625,0.1875
#duparc,3.6160714285714284,0.002551020408163265,2.169642857142857,5.0625,0.7232142857142857,0.7232142857142857,0.03571428571428571,0.875,0.4375,0.4375,0.1488095238095238,0.875,1.4464285714285714,0.7232142857142857,0.7232142857142857,0.0744047619047619,0.7232142857142857
#bejart-aine,1.5125,0.017857142857142856,3.5208333333333335,0.7232142857142857,14.0625,14.0625,0.25,0.125,0.0625,0.0625,0.375,0.125,0.125,0.0625,0.0625,0.1875,0.0625
#bejart-aine,1.5125,0.017857142857142856,3.5208333333333335,0.7232142857142857,14.0625,14.0625,0.25,0.125,0.0625,0.0625,0.375,0.125,0.125,0.0625,0.0625,0.1875,0.0625
#alain,0.05,0.07142857142857142,0.08333333333333333,0.03571428571428571,0.25,0.25,9.0,0.5,2.25,2.25,1.5,0.5,0.5,0.25,0.25,0.75,0.25
#le-comte,0.625,0.03571428571428571,0.375,0.875,0.125,0.125,0.5,12.25,6.125,6.125,0.75,0.25,0.25,0.125,0.125,0.375,0.125
#le-marquis,0.3125,0.017857142857142856,0.1875,0.4375,0.0625,0.0625,2.25,6.125,14.0625,14.0625,0.375,0.125,0.125,0.0625,0.0625,0.1875,0.0625
#le-marquis,0.3125,0.017857142857142856,0.1875,0.4375,0.0625,0.0625,2.25,6.125,14.0625,14.0625,0.375,0.125,0.125,0.0625,0.0625,0.1875,0.0625
#angelique,0.4083333333333333,0.011904761904761904,1.125,0.1488095238095238,0.375,0.375,1.5,0.75,0.375,0.375,6.25,2.0833333333333335,0.08333333333333333,0.375,0.375,0.6805555555555556,1.0416666666666667
#bellerose,0.625,0.03571428571428571,0.375,0.875,0.125,0.125,0.5,0.25,0.125,0.125,2.0833333333333335,12.25,0.25,0.125,0.125,1.0416666666666667,0.125
#purgon,3.025,0.32142857142857145,1.0416666666666667,1.4464285714285714,0.125,0.125,0.5,0.25,0.125,0.125,0.08333333333333333,0.25,12.25,6.125,6.125,1.0416666666666667,6.125
#mademoisele-de-brie,1.5125,0.875,3.5208333333333335,0.7232142857142857,0.0625,0.0625,0.25,0.125,0.0625,0.0625,0.375,0.125,6.125,14.0625,14.0625,0.1875,0.0625
#mademoisele-de-brie,1.5125,0.875,3.5208333333333335,0.7232142857142857,0.0625,0.0625,0.25,0.125,0.0625,0.0625,0.375,0.125,6.125,14.0625,14.0625,0.1875,0.0625
#monsieur-dimanche,0.004166666666666667,0.05357142857142857,0.5625,0.0744047619047619,0.1875,0.1875,0.75,0.375,0.1875,0.1875,0.6805555555555556,1.0416666666666667,1.0416666666666667,0.1875,0.1875,10.5625,3.5208333333333335
#tous,1.5125,0.017857142857142856,0.1875,0.7232142857142857,0.0625,0.0625,0.25,0.125,0.0625,0.0625,1.0416666666666667,0.125,6.125,0.0625,0.0625,3.5208333333333335,14.0625
Successions,#mademoiselle-de-brie,#moliere,#mademoiselle-bejart,#duparc,#bejart-aine,#mademoiselle-de-brie #mademoiselle-bejart #duparc #bejart-aine,#alain,#le-comte,#le-marquis,#du-parc,#angelique,#bellerose,#purgon,#mademoisele-de-brie,#bejart,#monsieur-dimanche,#tous
#mademoiselle-de-brie,0.016129032258064516,0.0967741935483871,0.11290322580645161,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5967741935483871,0.0,0.016129032258064516,0.0,0.0
#moliere,0.02877697841726619,0.014388489208633094,0.014388489208633094,0.08633093525179857,0.0,0.0,0.07913669064748201,0.08633093525179857,0.0,0.007194244604316547,0.28776978417266186,0.07913669064748201,0.007194244604316547,0.0,0.0,0.30935251798561153,0.0
#mademoiselle-bejart,0.5263157894736842,0.05263157894736842,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0
#duparc,0.20833333333333334,0.20833333333333334,0.125,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.375,0.0,0.0,0.0,0.0
#bejart-aine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-de-brie #mademoiselle-bejart #duparc #bejart-aine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alain,0.07692307692307693,0.8461538461538461,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte,0.0,0.5555555555555556,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-de-brie #mademoiselle-bejart #duparc #bejart-aine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#angelique,0.0,0.9347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0
#bellerose,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
#purgon,0.6065573770491803,0.01639344262295082,0.03278688524590164,0.3114754098360656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.01639344262295082
