VALEUR,#doraste,#panoppe,#le-paysan,#la-paysanne,#fauvye,#le-page,#agatocles,#conseiller,#androcle,#pilote,#pandoste,#le-prevot,#les-ambassadeurs
Fréquences (scènes),0.37037037037037035,0.25925925925925924,0.25925925925925924,0.07407407407407407,0.48148148148148145,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.19,0.11,0.15,0.02,0.19,0.01,0.04,0.03,0.02,0.04,0.1,0.04,0.06
Déviations,#doraste,#panoppe,#le-paysan,#la-paysanne,#fauvye,#le-page,#agatocles,#conseiller,#androcle,#pilote,#pandoste,#le-prevot,#les-ambassadeurs
#doraste,10.703703703703706,0.764021164021164,0.06402116402116403,0.7407407407407407,0.9917378917378917,0.37037037037037035,1.1111111111111112,0.7407407407407407,0.37037037037037035,1.0703703703703706,0.13544973544973543,0.01111111111111112,0.01111111111111112
#panoppe,0.764021164021164,14.814814814814815,0.7739984882842028,0.5185185185185185,0.557183557183557,2.1164021164021163,0.7777777777777776,0.5185185185185185,0.25925925925925924,2.1164021164021163,1.8148148148148147,0.7777777777777776,0.7777777777777776
#le-paysan,0.06402116402116403,0.7739984882842028,14.814814814814815,4.232804232804233,0.11762311762311767,0.25925925925925924,0.7777777777777776,0.5185185185185185,0.25925925925925924,2.1164021164021163,0.36583522297808,0.7777777777777776,0.06349206349206356
#la-paysanne,0.7407407407407407,0.5185185185185185,4.232804232804233,23.148148148148152,0.9629629629629629,0.07407407407407407,0.2222222222222222,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.5185185185185185,0.2222222222222222,0.2222222222222222
#fauvye,0.9917378917378917,0.557183557183557,0.11762311762311767,0.9629629629629629,7.259259259259261,0.48148148148148145,1.4444444444444444,0.9629629629629629,0.48148148148148145,0.5584045584045586,0.04070004070004067,0.13675213675213674,0.13675213675213674
#le-page,0.37037037037037035,2.1164021164021163,0.25925925925925924,0.07407407407407407,0.48148148148148145,25.03703703703704,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.1111111111111111
#agatocles,1.1111111111111112,0.7777777777777776,0.7777777777777776,0.2222222222222222,1.4444444444444444,0.1111111111111111,21.333333333333332,14.222222222222221,7.111111111111111,0.1111111111111111,0.7777777777777776,0.3333333333333333,1.3333333333333337
#conseiller,0.7407407407407407,0.5185185185185185,0.5185185185185185,0.14814814814814814,0.9629629629629629,0.07407407407407407,14.222222222222221,23.148148148148152,11.574074074074076,0.07407407407407407,0.5185185185185185,0.2222222222222222,0.2222222222222222
