VALEUR,#thesee,#pirithoos,#le-heraut,#antiope,#egerie,#egee,#medee,#un-capitaine-des-gardes,#nerine,#lysandre,#le-messager,#un-soldat
Fréquences (scènes),0.3793103448275862,0.3103448275862069,0.034482758620689655,0.3448275862068966,0.27586206896551724,0.4827586206896552,0.3448275862068966,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.034482758620689655
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.16071428571428573,0.14285714285714285,0.017857142857142856,0.13392857142857142,0.11607142857142858,0.20535714285714285,0.125,0.017857142857142856,0.026785714285714284,0.026785714285714284,0.017857142857142856,0.008928571428571428
Déviations,#thesee,#pirithoos,#le-heraut,#antiope,#egerie,#egee,#medee,#un-capitaine-des-gardes,#nerine,#lysandre,#le-messager,#un-soldat
#thesee,11.172413793103448,0.7370254266805992,1.0156739811912228,0.8476489028213167,0.3526645768025078,0.018137035378414733,0.8476489028213167,0.3793103448275862,0.7586206896551724,0.07680250783699062,0.3793103448275862,0.3793103448275862
#pirithoos,0.7370254266805992,13.793103448275863,1.5325670498084292,0.25900383141762423,0.8855363984674329,0.4162561576354681,1.4256704980842916,0.3103448275862069,0.6206896551724138,0.6206896551724138,1.5325670498084292,0.3103448275862069
#le-heraut,1.0156739811912228,1.5325670498084292,27.034482758620694,0.3448275862068966,0.27586206896551724,0.4827586206896552,0.3448275862068966,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.034482758620689655
#antiope,0.8476489028213167,0.25900383141762456,0.3448275862068966,12.44827586206896,6.521120689655171,3.034729064039409,3.4482758620689657,0.3448275862068966,0.6896551724137931,0.6896551724137931,1.2448275862068965,0.3448275862068966
#egerie,0.3526645768025078,0.8855363984674329,0.27586206896551724,6.521120689655171,15.20689655172414,0.8977832512315271,2.7586206896551726,0.27586206896551724,0.5517241379310345,0.36422413793103453,0.27586206896551724,0.27586206896551724
#egee,0.018137035378414632,0.4162561576354681,0.48275862068965514,3.034729064039409,0.8977832512315269,7.758620689655173,2.084729064039409,0.5541871921182268,0.0012315270935960641,0.0012315270935960641,0.48275862068965514,0.5541871921182268
#medee,0.8476489028213167,1.4256704980842911,0.3448275862068966,3.4482758620689657,2.7586206896551726,2.084729064039409,12.44827586206896,1.2448275862068965,2.489655172413793,0.6896551724137931,0.3448275862068966,0.3448275862068966
#un-capitaine-des-gardes,0.3793103448275862,0.3103448275862069,0.034482758620689655,0.3448275862068966,0.27586206896551724,0.5541871921182264,1.2448275862068965,27.034482758620694,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.034482758620689655
#nerine,0.7586206896551724,0.6206896551724138,0.06896551724137931,0.6896551724137931,0.5517241379310345,0.001231527093596056,2.489655172413793,0.06896551724137931,25.137931034482758,0.13793103448275862,0.06896551724137931,0.06896551724137931
#lysandre,0.07680250783699062,0.6206896551724138,0.06896551724137931,0.6896551724137931,0.36422413793103453,0.001231527093596056,0.6896551724137931,0.06896551724137931,0.13793103448275862,25.137931034482758,0.06896551724137931,0.06896551724137931
#le-messager,0.3793103448275862,1.5325670498084292,0.034482758620689655,1.2448275862068965,0.27586206896551724,0.4827586206896552,0.3448275862068966,0.034482758620689655,0.06896551724137931,0.06896551724137931,27.034482758620694,0.034482758620689655
#un-soldat,0.3793103448275862,0.3103448275862069,0.034482758620689655,0.3448275862068966,0.27586206896551724,0.5541871921182264,0.3448275862068966,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.034482758620689655,27.034482758620694
Successions,#thesee,#pirithoos,#le-heraut,#antiope,#egerie,#egee,#medee,#un-capitaine-des-gardes,#nerine,#lysandre,#le-messager,#un-soldat
#thesee,0.0125,0.175,0.05,0.275,0.0125,0.3,0.1375,0.0,0.0,0.0375,0.0,0.0
#pirithoos,0.358974358974359,0.0,0.02564102564102564,0.41025641025641024,0.0,0.1794871794871795,0.02564102564102564,0.0,0.0,0.0,0.0,0.0
#le-heraut,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#antiope,0.3108108108108108,0.22972972972972974,0.0,0.013513513513513514,0.35135135135135137,0.06756756756756757,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.0
#egerie,0.03225806451612903,0.0,0.0,0.8387096774193549,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0
#egee,0.3026315789473684,0.06578947368421052,0.0,0.10526315789473684,0.013157894736842105,0.013157894736842105,0.4342105263157895,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.0,0.013157894736842105
#medee,0.22448979591836735,0.04081632653061224,0.0,0.0,0.0,0.6326530612244898,0.0,0.0,0.10204081632653061,0.0,0.0,0.0
#un-capitaine-des-gardes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#nerine,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
#lysandre,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-messager,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-capitaine-des-gardes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
