VALEUR,#gusman,#roger,#stelle,#le-comte,#aurore,#lothaire,#le-parti-de-stelle,#le-parti-d-aurore,#diane,#elvire,#lazarille,#carlos
Fréquences (scènes),0.4375,0.59375,0.1875,0.125,0.5625,0.40625,0.03125,0.03125,0.28125,0.125,0.1875,0.03125
Fréquences(répliques),0.060128429655575015,0.30064214827787505,0.07063631056625802,0.01634559252772913,0.30589608873321655,0.15178050204319907,0.0005837711617046118,0.0005837711617046118,0.05195563339171045,0.008172796263864565,0.021599532983070636,0.011675423234092236
Confrontation,0.12056737588652482,0.1702127659574468,0.09574468085106383,0.07092198581560284,0.16312056737588654,0.13120567375886524,0.024822695035460994,0.024822695035460994,0.08865248226950355,0.02127659574468085,0.06382978723404255,0.024822695035460994
Déviations,#gusman,#roger,#stelle,#le-comte,#aurore,#lothaire,#le-parti-de-stelle,#le-parti-d-aurore,#diane,#elvire,#lazarille,#carlos
#gusman,10.125,3.8914473684210527,0.05357142857142857,0.03571428571428571,1.0496031746031746,0.017170329670329672,0.7232142857142857,0.7232142857142857,2.191468253968254,1.75,1.005952380952381,0.4375
#roger,3.8914473684210527,5.28125,0.0537280701754386,0.16447368421052633,0.6758040935672515,0.06692813765182186,0.2779605263157895,0.2779605263157895,0.022112573099415205,0.7960526315789473,0.08881578947368421,0.2779605263157895
#stelle,0.05357142857142857,0.0537280701754386,21.125,14.083333333333334,0.7824074074074074,0.12980769230769232,3.5208333333333335,3.5208333333333335,1.0208333333333333,0.75,0.6805555555555556,3.5208333333333335
#le-comte,0.03571428571428571,0.16447368421052633,14.083333333333334,24.5,0.25,0.08653846153846154,6.125,6.125,0.013888888888888888,0.5,2.0833333333333335,6.125
#aurore,1.0496031746031746,0.6758040935672515,0.7824074074074074,0.25,6.125,0.06463675213675214,0.3402777777777778,0.3402777777777778,1.7044753086419753,0.25,0.041666666666666664,0.3402777777777778
#lothaire,0.017170329670329672,0.06692813765182186,0.12980769230769232,0.08653846153846154,0.06463675213675214,11.28125,0.8677884615384616,0.8677884615384616,0.11778846153846154,0.2403846153846154,1.001602564102564,0.8677884615384616
#le-parti-de-stelle,0.7232142857142857,0.2779605263157895,3.5208333333333335,6.125,0.3402777777777778,0.8677884615384616,30.03125,30.03125,0.28125,0.125,0.1875,0.03125
#le-parti-de-stelle,0.7232142857142857,0.2779605263157895,3.5208333333333335,6.125,0.3402777777777778,0.8677884615384616,30.03125,30.03125,0.28125,0.125,0.1875,0.03125
#diane,2.191468253968254,0.022112573099415205,1.0208333333333333,0.013888888888888888,1.7044753086419753,0.11778846153846154,0.28125,0.28125,16.53125,0.013888888888888888,0.05787037037037037,1.8368055555555556
#elvire,1.75,0.7960526315789473,0.75,0.5,0.25,0.2403846153846154,0.125,0.125,0.013888888888888888,24.5,0.75,0.125
#lazarille,1.005952380952381,0.08881578947368421,0.6805555555555556,2.0833333333333335,0.041666666666666664,1.001602564102564,0.1875,0.1875,0.05787037037037037,0.75,21.125,3.5208333333333335
#carlos,0.4375,0.2779605263157895,3.5208333333333335,6.125,0.3402777777777778,0.8677884615384616,0.03125,0.03125,1.8368055555555556,0.125,3.5208333333333335,30.03125
Successions,#gusman,#roger,#stelle,#le-comte,#aurore,#lothaire,#le-parti-de-stelle,#le-parti-d-aurore,#diane,#elvire,#lazarille,#carlos
#gusman,0.0,0.8846153846153846,0.0,0.0,0.038461538461538464,0.057692307692307696,0.0,0.0,0.0,0.0,0.019230769230769232,0.0
#roger,0.34507042253521125,0.007042253521126761,0.007042253521126761,0.0,0.30985915492957744,0.3028169014084507,0.0,0.0,0.028169014084507043,0.0,0.0,0.0
#stelle,0.04,0.16,0.0,0.16,0.52,0.08,0.0,0.0,0.0,0.0,0.04,0.0
#le-comte,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
#aurore,0.007575757575757576,0.3939393939393939,0.12878787878787878,0.007575757575757576,0.0,0.1893939393939394,0.0,0.007575757575757576,0.17424242424242425,0.03787878787878788,0.007575757575757576,0.045454545454545456
#lothaire,0.011111111111111112,0.37777777777777777,0.0,0.022222222222222223,0.37777777777777777,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.1,0.044444444444444446
#le-parti-de-stelle,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-parti-d-aurore,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#diane,0.0,0.13793103448275862,0.034482758620689655,0.0,0.7586206896551724,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0
#elvire,0.0,0.125,0.0,0.0,0.75,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#lazarille,0.07142857142857142,0.0,0.14285714285714285,0.0,0.21428571428571427,0.5,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
#carlos,0.0,0.0,0.0,0.0,0.36363636363636365,0.5454545454545454,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
