VALEUR,#arlequin,#pierrot,#colombine,#amphion,#isabelle,#le-vendeur-de-tisane,#l-auteur,#pluton,#proserpine,#caron
Fréquences (scènes),0.8,0.1,0.6,0.1,0.3,0.1,0.1,0.3,0.3,0.2
Fréquences(répliques),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.22857142857142856,0.04285714285714286,0.2,0.04285714285714286,0.11428571428571428,0.02857142857142857,0.014285714285714285,0.11428571428571428,0.11428571428571428,0.1
Déviations,#arlequin,#pierrot,#colombine,#amphion,#isabelle,#le-vendeur-de-tisane,#l-auteur,#pluton,#proserpine,#caron
#arlequin,0.3999999999999998,0.049999999999999975,0.3000000000000001,0.049999999999999975,0.15000000000000005,0.049999999999999975,0.049999999999999975,0.8166666666666665,0.8166666666666665,0.22500000000000006
#pierrot,0.049999999999999975,8.1,0.2666666666666667,8.1,0.3,0.10000000000000002,0.10000000000000002,0.3,0.3,0.20000000000000004
#colombine,0.2999999999999996,0.2666666666666665,1.6000000000000005,0.2666666666666665,0.022222222222222265,0.2666666666666665,0.6000000000000001,0.3555555555555554,0.3555555555555554,0.03333333333333339
#pierrot,0.049999999999999975,8.1,0.2666666666666667,8.1,0.3,0.10000000000000002,0.10000000000000002,0.3,0.3,0.20000000000000004
#isabelle,0.1499999999999998,0.30000000000000004,0.022222222222222265,0.30000000000000004,4.9,0.30000000000000004,0.30000000000000004,0.011111111111111132,0.011111111111111132,0.2666666666666665
#le-vendeur-de-tisane,0.049999999999999975,0.10000000000000002,0.2666666666666667,0.10000000000000002,0.3,8.1,0.10000000000000002,0.3,0.3,0.20000000000000004
#l-auteur,0.049999999999999975,0.10000000000000002,0.6,0.10000000000000002,0.3,0.10000000000000002,8.1,0.3,0.3,0.20000000000000004
#pluton,0.816666666666667,0.30000000000000004,0.3555555555555554,0.30000000000000004,0.011111111111111132,0.30000000000000004,0.30000000000000004,4.9,4.9,3.2666666666666657
#pluton,0.816666666666667,0.30000000000000004,0.3555555555555554,0.30000000000000004,0.011111111111111132,0.30000000000000004,0.30000000000000004,4.9,4.9,3.2666666666666657
#caron,0.22500000000000006,0.20000000000000004,0.03333333333333332,0.20000000000000004,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.266666666666666,3.266666666666666,6.400000000000001
Successions,#arlequin,#pierrot,#colombine,#amphion,#isabelle,#le-vendeur-de-tisane,#l-auteur,#pluton,#proserpine,#caron
#arlequin,0.010526315789473684,0.042105263157894736,0.37894736842105264,0.0,0.23157894736842105,0.021052631578947368,0.22105263157894736,0.08421052631578947,0.010526315789473684,0.0
#pierrot,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#colombine,0.8095238095238095,0.023809523809523808,0.0,0.023809523809523808,0.0,0.11904761904761904,0.0,0.023809523809523808,0.0,0.0
#amphion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.9565217391304348,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-vendeur-de-tisane,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#amphion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pluton,0.2727272727272727,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.18181818181818182,0.4090909090909091
#proserpine,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
#caron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
