VALEUR,#premier-laquais,#second-laquais,#le-laquais,#palamede,#lidamon,#celante,#belise,#chrysolite,#celante #belise,#lysandre
Fréquences (scènes),0.0,0.0,0.4,1.0,0.8,0.6,0.6,0.4,0.2,0.2
Fréquences(répliques),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.0,0.0,0.10638297872340426,0.1702127659574468,0.1702127659574468,0.1595744680851064,0.1595744680851064,0.11702127659574468,0.06382978723404255,0.05319148936170213
Déviations,#premier-laquais,#second-laquais,#le-laquais,#palamede,#lidamon,#celante,#belise,#chrysolite,#celante #belise,#lysandre
#premier-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.0,1.7999999999999998,0.0,0.09999999999999995,0.5333333333333334,0.5333333333333334,0.049999999999999975,0.8999999999999999,0.4000000000000001
#premier-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lidamon,0.0,0.0,0.09999999999999995,0.0,0.1999999999999999,0.15000000000000005,0.15000000000000005,0.09999999999999995,0.049999999999999975,0.049999999999999975
#celante,0.0,0.0,0.533333333333333,0.0,0.1499999999999998,0.8000000000000003,0.8000000000000003,0.533333333333333,0.2666666666666665,0.2666666666666665
#celante,0.0,0.0,0.533333333333333,0.0,0.1499999999999998,0.8000000000000003,0.8000000000000003,0.533333333333333,0.2666666666666665,0.2666666666666665
#chrysolite,0.0,0.0,0.049999999999999975,0.0,0.09999999999999995,0.5333333333333334,0.5333333333333334,1.7999999999999998,0.8999999999999999,0.8999999999999999
#celante #belise,0.0,0.0,0.8999999999999999,0.0,0.049999999999999975,0.2666666666666667,0.2666666666666667,0.8999999999999999,3.2000000000000006,0.20000000000000004
#lysandre,0.0,0.0,0.4000000000000001,0.0,0.049999999999999975,0.2666666666666667,0.2666666666666667,0.8999999999999999,0.20000000000000004,3.2000000000000006
Successions,#premier-laquais,#second-laquais,#le-laquais,#palamede,#lidamon,#celante,#belise,#chrysolite,#celante #belise,#lysandre
#premier-laquais,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-laquais,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0
#palamede,0.0,0.0,0.02564102564102564,0.0,0.46153846153846156,0.15384615384615385,0.1794871794871795,0.1794871794871795,0.0,0.0
#lidamon,0.0,0.0,0.07692307692307693,0.41025641025641024,0.0,0.20512820512820512,0.20512820512820512,0.05128205128205128,0.0,0.05128205128205128
#celante,0.0,0.0,0.0,0.2647058823529412,0.23529411764705882,0.0,0.29411764705882354,0.11764705882352941,0.0,0.08823529411764706
#belise,0.0,0.0,0.0,0.2413793103448276,0.20689655172413793,0.41379310344827586,0.0,0.13793103448275862,0.0,0.0
#chrysolite,0.0,0.0,0.0,0.3157894736842105,0.10526315789473684,0.3684210526315789,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842
#celante #belise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#lysandre,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
