VALEUR,#hercule,#dejanire,#iole,#lucinde,#arsides,#arcas,#philoctete,#lichas,#agis,#alcmene
Fréquences (scènes),0.5,0.3,0.3,0.4,0.05,0.15,0.4,0.05,0.25,0.3
Fréquences(répliques),0.3315754779169413,0.2228081740276862,0.11535926170072512,0.061305207646671064,0.0026367831245880024,0.02900461437046803,0.09887936717205009,0.0006591957811470006,0.04878048780487805,0.08899143045484509
Confrontation,0.1349206349206349,0.07142857142857142,0.12698412698412698,0.14285714285714285,0.015873015873015872,0.0873015873015873,0.16666666666666666,0.015873015873015872,0.10317460317460317,0.1349206349206349
Déviations,#hercule,#dejanire,#iole,#lucinde,#arsides,#arcas,#philoctete,#lichas,#agis,#alcmene
#hercule,5.0,0.3333333333333333,0.0,2.25,0.5,0.16666666666666666,0.25,0.5,0.9,0.0
#dejanire,0.3333333333333333,9.8,0.022222222222222265,0.1499999999999998,1.6333333333333329,0.8999999999999999,2.4000000000000004,0.30000000000000004,0.16666666666666666,1.7999999999999998
#iole,0.0,0.022222222222222265,9.8,0.06666666666666678,1.6333333333333329,4.9,0.06666666666666678,0.30000000000000004,0.16666666666666666,0.022222222222222265
#lucinde,2.25,0.15000000000000005,0.06666666666666664,7.199999999999999,0.4000000000000001,0.5333333333333334,0.1999999999999999,0.4000000000000001,0.5,0.15000000000000005
#arsides,0.5,1.633333333333333,1.633333333333333,0.4000000000000001,18.049999999999997,0.15,0.4000000000000001,0.05000000000000001,0.25,0.3
#arcas,0.16666666666666666,0.8999999999999999,4.9,0.533333333333333,0.15000000000000002,14.450000000000001,0.533333333333333,0.15000000000000002,0.08333333333333333,1.3444444444444448
#philoctete,0.25,2.4,0.06666666666666664,0.1999999999999999,0.4000000000000001,0.5333333333333334,7.199999999999999,0.8999999999999999,0.5,1.0666666666666669
#lichas,0.5,0.3,0.3,0.4000000000000001,0.05000000000000001,0.15,0.8999999999999999,18.049999999999997,0.25,0.3
#agis,0.9,0.16666666666666666,0.16666666666666666,0.5,0.25,0.08333333333333333,0.5,0.25,11.25,1.5
#alcmene,0.0,1.7999999999999998,0.022222222222222265,0.1499999999999998,0.30000000000000004,1.3444444444444448,1.066666666666666,0.30000000000000004,1.5,9.8
Successions,#hercule,#dejanire,#iole,#lucinde,#arsides,#arcas,#philoctete,#lichas,#agis,#alcmene
#hercule,0.0,0.1891891891891892,0.2702702702702703,0.02702702702702703,0.0,0.0,0.1891891891891892,0.02702702702702703,0.05405405405405406,0.24324324324324326
#dejanire,0.27586206896551724,0.0,0.10344827586206896,0.4827586206896552,0.0,0.0,0.0,0.0,0.13793103448275862,0.0
#iole,0.35714285714285715,0.14285714285714285,0.0,0.0,0.0,0.35714285714285715,0.07142857142857142,0.0,0.0,0.07142857142857142
#lucinde,0.041666666666666664,0.5833333333333334,0.041666666666666664,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,0.041666666666666664,0.08333333333333333
#arsides,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arcas,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
#philoctete,0.24,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.44
#lichas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agis,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365
#alcmene,0.35714285714285715,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.39285714285714285,0.0,0.14285714285714285,0.0
