VALEUR,#pasquin,#frontin,#la-vicomtesse,#la-cabale,#brillant,#le-colporteur,#la-medisante,#cleon,#l-homme-enseignant,#l-homme-de-cour,#le-philosophe,#le-chevalier,#le-comedien,#la-jeune-fille
Fréquences (scènes),0.16666666666666666,0.25,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.04,0.08,0.02,0.24,0.02,0.02,0.08,0.06,0.06,0.04,0.04,0.16,0.08,0.06
Déviations,#pasquin,#frontin,#la-vicomtesse,#la-cabale,#brillant,#le-colporteur,#la-medisante,#cleon,#l-homme-enseignant,#l-homme-de-cour,#le-philosophe,#le-chevalier,#le-comedien,#la-jeune-fille
#pasquin,8.333333333333336,4.5,0.16666666666666666,1.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666
#frontin,4.5,6.75,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.0,0.5,0.25
#la-vicomtesse,0.16666666666666666,0.25,10.083333333333332,0.1666666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333
#la-cabale,1.3333333333333333,0.5,0.1666666666666667,1.3333333333333337,0.1666666666666667,0.1666666666666667,0.3333333333333334,0.1666666666666667,0.1666666666666667,0.6666666666666666,0.6666666666666666,0.1666666666666666,0.0833333333333333,0.1666666666666667
#brillant,0.16666666666666666,0.25,0.08333333333333333,0.1666666666666667,10.083333333333332,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333
#le-colporteur,0.16666666666666666,0.25,0.08333333333333333,0.1666666666666667,0.08333333333333333,10.083333333333332,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333
#la-medisante,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333334,0.16666666666666666,0.16666666666666666,8.333333333333336,4.166666666666668,4.166666666666668,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666
#cleon,0.16666666666666666,0.25,0.08333333333333333,0.1666666666666667,0.08333333333333333,0.08333333333333333,4.166666666666668,10.083333333333332,10.083333333333332,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333
#cleon,0.16666666666666666,0.25,0.08333333333333333,0.1666666666666667,0.08333333333333333,0.08333333333333333,4.166666666666668,10.083333333333332,10.083333333333332,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333
#l-homme-de-cour,0.16666666666666666,0.25,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,10.083333333333332,10.083333333333332,1.3333333333333337,0.16666666666666666,0.08333333333333333
#l-homme-de-cour,0.16666666666666666,0.25,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,10.083333333333332,10.083333333333332,1.3333333333333337,0.16666666666666666,0.08333333333333333
#le-chevalier,0.6666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,5.333333333333335,2.6666666666666674,1.3333333333333337
#le-comedien,0.3333333333333333,0.5,0.16666666666666666,0.0833333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.6666666666666674,8.333333333333336,4.166666666666668
#la-jeune-fille,0.16666666666666666,0.25,0.08333333333333333,0.1666666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.3333333333333337,4.166666666666668,10.083333333333332
Successions,#pasquin,#frontin,#la-vicomtesse,#la-cabale,#brillant,#le-colporteur,#la-medisante,#cleon,#l-homme-enseignant,#l-homme-de-cour,#le-philosophe,#le-chevalier,#le-comedien,#la-jeune-fille
#pasquin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#frontin,0.9411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0
#la-vicomtesse,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-cabale,0.0,0.016129032258064516,0.14516129032258066,0.03225806451612903,0.1935483870967742,0.22580645161290322,0.3064516129032258,0.0,0.0,0.0,0.0,0.03225806451612903,0.016129032258064516,0.03225806451612903
#brillant,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#brillant,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-medisante,0.0,0.0,0.0,0.7727272727272727,0.0,0.0,0.0,0.13636363636363635,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
#cleon,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#l-homme-enseignant,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
