VALEUR,#philene,#philemon #daphnis,#philemon,#daphnis,#tous-deux,#climene,#ensemble,#philene #climene,#tous-quatre
Fréquences (scènes),0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Fréquences(répliques),0.1016949152542373,0.3220338983050847,0.03389830508474576,0.03389830508474576,0.1016949152542373,0.2542372881355932,0.01694915254237288,0.06779661016949153,0.06779661016949153
Confrontation,0.11904761904761904,0.19047619047619047,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904
Déviations,#philene,#philemon #daphnis,#philemon,#daphnis,#tous-deux,#climene,#ensemble,#philene #climene,#tous-quatre
#philene,1.0,0.16666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#philemon #daphnis,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#philemon,0.5,0.08333333333333333,2.25,2.25,2.25,0.25,0.25,0.25,0.25
#philemon,0.5,0.08333333333333333,2.25,2.25,2.25,0.25,0.25,0.25,0.25
#philemon,0.5,0.08333333333333333,2.25,2.25,2.25,0.25,0.25,0.25,0.25
#climene,0.5,0.08333333333333333,0.25,0.25,0.25,2.25,2.25,2.25,2.25
#climene,0.5,0.08333333333333333,0.25,0.25,0.25,2.25,2.25,2.25,2.25
#climene,0.5,0.08333333333333333,0.25,0.25,0.25,2.25,2.25,2.25,2.25
#climene,0.5,0.08333333333333333,0.25,0.25,0.25,2.25,2.25,2.25,2.25
Successions,#philene,#philemon #daphnis,#philemon,#daphnis,#tous-deux,#climene,#ensemble,#philene #climene,#tous-quatre
#philene,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#philemon #daphnis,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
#philemon,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#daphnis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-deux,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#climene,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philene,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#philene #climene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-quatre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
