VALEUR,#lisandre,#valere,#crispin,#un-des-gens-assembles,#le-sergent,#le-crocheteur,#un-laquais,#du-rimet,#angelique,#lisette,#la-montagne,#le-marquis,#le-gascon,#madame-lisandre
Fréquences (scènes),0.4117647058823529,0.5294117647058824,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.7647058823529411,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
Fréquences(répliques),0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.16,0.0,0.0
Confrontation,0.140625,0.171875,0.140625,0.0234375,0.015625,0.015625,0.015625,0.2265625,0.09375,0.078125,0.015625,0.015625,0.0234375,0.0234375
Déviations,#lisandre,#valere,#crispin,#un-des-gens-assembles,#le-sergent,#le-crocheteur,#un-laquais,#du-rimet,#angelique,#lisette,#la-montagne,#le-marquis,#le-gascon,#madame-lisandre
#lisandre,5.882352941176469,0.4519140989729224,0.5084033613445378,0.8403361344537816,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.3419521654815771,0.4302521008403359,0.07563025210084037,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.8403361344537816
#valere,0.45191409897292273,3.7647058823529416,0.13807189542483658,0.41830065359477125,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0020110608345902626,1.0248366013071895,0.5898692810457516,0.5294117647058824,0.5294117647058824,0.41830065359477125,0.41830065359477125
#crispin,0.5084033613445378,0.13807189542483658,4.764705882352942,0.5955882352941178,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.12726244343891416,2.3529411764705883,1.8823529411764706,0.5955882352941178,0.5955882352941178,0.5955882352941178,0.47058823529411764
#un-des-gens-assembles,0.8403361344537816,0.41830065359477125,0.5955882352941178,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.7647058823529412,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#le-sergent,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,0.7647058823529412,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#le-sergent,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,0.7647058823529412,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#le-sergent,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,0.7647058823529412,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#du-rimet,0.3419521654815771,0.002011060834590232,0.12726244343891416,0.7647058823529412,0.7647058823529412,0.7647058823529412,0.7647058823529412,0.9411764705882352,0.008144796380090481,0.0011312217194570057,0.0723981900452489,0.0723981900452489,0.0723981900452489,0.0723981900452489
#angelique,0.4302521008403363,1.0248366013071895,2.3529411764705883,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.008144796380090523,8.470588235294116,6.776470588235293,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354
#lisette,0.07563025210084037,0.5898692810457516,1.8823529411764706,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0011312217194570057,6.776470588235293,9.941176470588236,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882
#la-montagne,0.4117647058823529,0.5294117647058824,0.5955882352941178,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0723981900452489,0.29411764705882354,0.23529411764705882,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705
#le-marquis,0.4117647058823529,0.5294117647058824,0.5955882352941178,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0723981900452489,0.29411764705882354,0.23529411764705882,0.058823529411764705,15.058823529411764,0.058823529411764705,0.058823529411764705
#le-gascon,0.4117647058823529,0.41830065359477125,0.5955882352941178,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0723981900452489,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,15.058823529411764,0.058823529411764705
#madame-lisandre,0.8403361344537816,0.41830065359477125,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0723981900452489,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,15.058823529411764
Successions,#lisandre,#valere,#crispin,#un-des-gens-assembles,#le-sergent,#le-crocheteur,#un-laquais,#du-rimet,#angelique,#lisette,#la-montagne,#le-marquis,#le-gascon,#madame-lisandre
#lisandre,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.5833333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664
#valere,0.25925925925925924,0.037037037037037035,0.1111111111111111,0.0,0.0,0.0,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,0.07407407407407407,0.0
#crispin,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.855072463768116,0.0,0.0,0.057971014492753624,0.043478260869565216,0.014492753623188406,0.0
#un-des-gens-assembles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-sergent,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-crocheteur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-laquais,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
