VALEUR,#don-felix,#jodelet,#don-gaspard,#don-sanche,#don-diegue,#alphonse,#beatrix,#lucie,#don-pedro,#helene
Fréquences (scènes),0.3870967741935484,0.3870967741935484,0.12903225806451613,0.03225806451612903,0.4838709677419355,0.5161290322580645,0.2903225806451613,0.2903225806451613,0.25806451612903225,0.12903225806451613
Fréquences(répliques),0.1841574167507568,0.19576185671039353,0.05600403632694248,0.01160443995963673,0.16397578203834512,0.07164480322906155,0.04641775983854692,0.1170534813319879,0.12462159434914229,0.02875882946518668
Confrontation,0.13983050847457626,0.07203389830508475,0.05508474576271186,0.00847457627118644,0.1652542372881356,0.13135593220338984,0.11440677966101695,0.1228813559322034,0.11440677966101695,0.07627118644067797
Déviations,#don-felix,#jodelet,#don-gaspard,#don-sanche,#don-diegue,#alphonse,#beatrix,#lucie,#don-pedro,#helene
#don-felix,11.645161290322584,0.395161290322581,0.1317204301075269,0.9704301075268817,0.006451612903225795,0.7768817204301075,0.06720430107526894,0.06720430107526894,1.169690860215054,1.3608870967741937
#jodelet,0.395161290322581,11.645161290322584,0.19422043010752688,0.9704301075268817,2.495340501792115,0.7768817204301075,1.770908004778973,1.770908004778973,1.4196908602150538,1.5483870967741935
#don-gaspard,0.1317204301075269,0.19422043010752688,23.516129032258064,0.12903225806451613,0.0021505376344085982,0.548891129032258,0.6057347670250894,0.022401433691756293,0.9072580645161291,4.266129032258065
#don-sanche,0.9704301075268817,0.9704301075268817,0.12903225806451613,29.03225806451613,0.4838709677419355,0.5161290322580645,0.2903225806451613,0.2903225806451613,0.25806451612903225,0.12903225806451613
#don-diegue,0.006451612903225795,2.495340501792115,0.0021505376344085982,0.4838709677419355,8.258064516129034,1.3711021505376342,0.09557945041815992,0.6215053763440855,0.0043010752688171965,0.5854838709677418
#alphonse,0.7768817204301075,0.7768817204301075,0.548891129032258,0.5161290322580645,1.3711021505376342,7.258064516129033,0.08960573476702517,0.08960573476702517,0.30871975806451607,2.064516129032258
#beatrix,0.06720430107526883,1.7709080047789725,0.6057347670250899,0.29032258064516125,0.09557945041815992,0.08960573476702495,15.612903225806448,4.390681003584228,0.1975806451612905,2.911290322580646
#lucie,0.06720430107526883,1.7709080047789725,0.022401433691756237,0.29032258064516125,0.6215053763440855,0.08960573476702495,4.390681003584228,15.612903225806448,3.08646953405018,2.911290322580646
#don-pedro,1.169690860215054,1.4196908602150538,0.9072580645161291,0.25806451612903225,0.0043010752688171965,0.30871975806451607,0.19758064516129023,3.0864695340501784,17.06451612903226,8.53225806451613
#helene,1.3608870967741937,1.5483870967741935,4.266129032258065,0.12903225806451613,0.5854838709677418,2.064516129032258,2.9112903225806446,2.9112903225806446,8.53225806451613,23.516129032258064
Successions,#don-felix,#jodelet,#don-gaspard,#don-sanche,#don-diegue,#alphonse,#beatrix,#lucie,#don-pedro,#helene
#don-felix,0.0,0.4479166666666667,0.11458333333333333,0.10416666666666667,0.10416666666666667,0.010416666666666666,0.08333333333333333,0.03125,0.07291666666666667,0.03125
#jodelet,0.589041095890411,0.0136986301369863,0.0273972602739726,0.0,0.0136986301369863,0.3013698630136986,0.0273972602739726,0.0,0.0273972602739726,0.0
#don-gaspard,0.3448275862068966,0.06896551724137931,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,0.20689655172413793,0.034482758620689655
#don-sanche,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-diegue,0.1111111111111111,0.03333333333333333,0.1,0.0,0.0,0.43333333333333335,0.06666666666666667,0.13333333333333333,0.08888888888888889,0.03333333333333333
#alphonse,0.0,0.29411764705882354,0.0,0.0,0.5882352941176471,0.0,0.014705882352941176,0.04411764705882353,0.058823529411764705,0.0
#beatrix,0.32,0.12,0.0,0.0,0.12,0.0,0.0,0.36,0.0,0.08
#lucie,0.06451612903225806,0.016129032258064516,0.0,0.0,0.24193548387096775,0.03225806451612903,0.11290322580645161,0.0,0.25806451612903225,0.27419354838709675
#don-pedro,0.22,0.0,0.12,0.0,0.16,0.08,0.02,0.3,0.04,0.06
#helene,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.6896551724137931,0.1724137931034483,0.0
