VALEUR,#leonte,#phulter,#le-herault,#abdolomin,#balorte,#belcar,#araxe,#soldats,#timadon,#pharnabaze,#le-courrier,#cassandre,#meliane,#zorote,#philoline,#tharside,#le-page,#almodice,#bagoas,#la-ruine,#la-debauche,#le-prevot,#archers,#soldat
Fréquences (scènes),0.25806451612903225,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.3548387096774194,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.22580645161290322,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806
Fréquences(répliques),0.14042553191489363,0.07044917257683216,0.00851063829787234,0.08747044917257683,0.022222222222222223,0.04775413711583924,0.006619385342789598,0.0037825059101654845,0.07659574468085106,0.07754137115839244,0.014184397163120567,0.029787234042553193,0.046335697399527184,0.10118203309692671,0.05390070921985816,0.052955082742316785,0.030732860520094562,0.03971631205673759,0.008983451536643027,0.03735224586288416,0.019858156028368795,0.0070921985815602835,0.002364066193853428,0.014184397163120567
Confrontation,0.14423076923076922,0.038461538461538464,0.038461538461538464,0.028846153846153848,0.028846153846153848,0.038461538461538464,0.04807692307692308,0.04807692307692308,0.15384615384615385,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.057692307692307696,0.038461538461538464,0.057692307692307696,0.04807692307692308,0.009615384615384616,0.019230769230769232,0.028846153846153848,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.038461538461538464
Déviations,#leonte,#phulter,#le-herault,#abdolomin,#balorte,#belcar,#araxe,#soldats,#timadon,#pharnabaze,#le-courrier,#cassandre,#meliane,#zorote,#philoline,#tharside,#le-page,#almodice,#bagoas,#la-ruine,#la-debauche,#le-prevot,#archers,#soldat
#leonte,17.06451612903226,0.06586021505376345,0.45362903225806456,0.5161290322580645,0.5161290322580645,0.7741935483870968,0.45362903225806456,4.266129032258065,3.5205278592375366,0.5161290322580645,0.25806451612903225,0.5161290322580645,0.7741935483870968,1.8064516129032258,0.45362903225806456,0.0010080645161290305,1.032258064516129,0.25806451612903225,0.25806451612903225,0.45362903225806456,0.45362903225806456,0.25806451612903225,0.25806451612903225,0.5161290322580645
#phulter,0.06586021505376345,25.29032258064517,3.3602150537634405,0.1935483870967742,0.1935483870967742,1.7347670250896063,0.1935483870967742,0.1935483870967742,1.064516129032258,3.3602150537634405,0.0967741935483871,0.1935483870967742,0.29032258064516125,0.6774193548387096,0.1935483870967742,0.3870967741935484,0.3870967741935484,0.0967741935483871,0.0967741935483871,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.0967741935483871,0.1935483870967742
#le-herault,0.45362903225806456,3.3602150537634405,27.12903225806452,0.12903225806451613,0.12903225806451613,3.3602150537634405,5.879032258064516,0.12903225806451613,0.7096774193548389,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613
#abdolomin,0.5161290322580645,0.1935483870967742,0.12903225806451613,27.12903225806452,27.12903225806452,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.7096774193548389,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,5.879032258064516
#abdolomin,0.5161290322580645,0.1935483870967742,0.12903225806451613,27.12903225806452,27.12903225806452,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.7096774193548389,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,5.879032258064516
#belcar,0.7741935483870968,1.7347670250896063,3.3602150537634405,0.1935483870967742,0.1935483870967742,25.29032258064517,3.3602150537634405,0.1935483870967742,1.064516129032258,0.1935483870967742,0.0967741935483871,0.1935483870967742,1.7347670250896063,0.6774193548387096,0.1935483870967742,0.3870967741935484,0.3870967741935484,0.0967741935483871,0.0967741935483871,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.0967741935483871,0.1935483870967742
#araxe,0.45362903225806456,0.1935483870967742,5.879032258064516,0.12903225806451613,0.12903225806451613,3.3602150537634405,27.12903225806452,5.879032258064516,0.11876832844574776,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613
#soldats,4.266129032258065,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.1935483870967742,5.879032258064516,27.12903225806452,2.3460410557184748,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613
#timadon,3.5205278592375366,1.064516129032258,0.7096774193548389,0.7096774193548389,0.7096774193548389,1.064516129032258,0.11876832844574776,2.3460410557184748,12.903225806451612,0.7096774193548389,0.35483870967741943,0.7096774193548389,1.064516129032258,0.8864683703393381,0.11876832844574776,1.7602639296187683,0.23753665689149553,0.35483870967741943,0.35483870967741943,0.7096774193548389,0.7096774193548389,0.35483870967741943,0.35483870967741943,0.7096774193548389
#pharnabaze,0.5161290322580645,3.3602150537634405,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.7096774193548389,27.12903225806452,13.56451612903226,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613
#le-courrier,0.25806451612903225,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.35483870967741943,13.56451612903226,29.03225806451613,0.06451612903225806,0.0967741935483871,0.22580645161290322,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806
#cassandre,0.5161290322580645,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.7096774193548389,0.12903225806451613,0.06451612903225806,27.12903225806452,3.3602150537634405,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613
#meliane,0.7741935483870968,0.29032258064516125,0.1935483870967742,0.1935483870967742,0.1935483870967742,1.7347670250896063,0.1935483870967742,0.1935483870967742,1.064516129032258,0.1935483870967742,0.0967741935483871,3.3602150537634405,25.29032258064517,0.6774193548387096,0.1935483870967742,0.3870967741935484,0.3870967741935484,8.43010752688172,0.0967741935483871,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.0967741935483871,0.1935483870967742
