VALEUR,#cassandre,#belcar,#meliane,#almodice,#araxe,#soldat,#zorote,#soldats,#pharnabaze,#phulter,#timadon,#thamys,#abdolomin,#balorte,#l-amiral,#premier-pecheur,#deuxieme-pecheur,#les-juges,#l-archer,#messager,#archer,#archers
Fréquences (scènes),0.1,0.26666666666666666,0.3333333333333333,0.2,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.23333333333333334,0.2,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.12435424354243542,0.15018450184501844,0.1959409594095941,0.17047970479704797,0.006642066420664207,0.002952029520295203,0.01845018450184502,0.01845018450184502,0.12435424354243542,0.06199261992619926,0.014022140221402213,0.02103321033210332,0.025830258302583026,0.004797047970479705,0.016605166051660517,0.004797047970479705,0.0033210332103321034,0.004059040590405904,0.006642066420664207,0.023616236162361623,0.00036900369003690036,0.001107011070110701
Confrontation,0.017241379310344827,0.10919540229885058,0.13793103448275862,0.040229885057471264,0.005747126436781609,0.028735632183908046,0.06321839080459771,0.028735632183908046,0.10919540229885058,0.1206896551724138,0.005747126436781609,0.04597701149425287,0.011494252873563218,0.05172413793103448,0.06321839080459771,0.011494252873563218,0.011494252873563218,0.017241379310344827,0.022988505747126436,0.005747126436781609,0.04597701149425287,0.04597701149425287
Déviations,#cassandre,#belcar,#meliane,#almodice,#araxe,#soldat,#zorote,#soldats,#pharnabaze,#phulter,#timadon,#thamys,#abdolomin,#balorte,#l-amiral,#premier-pecheur,#deuxieme-pecheur,#les-juges,#l-archer,#messager,#archer,#archers
#cassandre,24.3,0.8000000000000002,1.0,3.2666666666666657,0.10000000000000002,0.20000000000000004,0.4000000000000001,0.5,0.7,0.2666666666666665,0.10000000000000002,0.5,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#belcar,0.8000000000000002,16.133333333333336,0.6666666666666669,1.6000000000000003,0.26666666666666666,0.4083333333333334,0.004166666666666665,1.3333333333333333,0.00952380952380952,1.2249999999999999,0.26666666666666666,2.083333333333334,0.5333333333333333,0.4083333333333334,0.004166666666666665,0.26666666666666666,0.26666666666666666,0.26666666666666666,2.016666666666667,0.26666666666666666,2.016666666666667,2.016666666666667
#meliane,1.0,0.6666666666666669,13.333333333333336,0.0,0.3333333333333333,0.1666666666666667,0.0833333333333333,0.26666666666666655,0.19047619047619038,0.5,0.3333333333333333,0.26666666666666655,0.6666666666666666,0.1666666666666667,0.0833333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.3333333333333333,1.3333333333333337,1.3333333333333337
#almodice,3.2666666666666657,1.6000000000000003,0.0,19.199999999999996,0.20000000000000004,0.4000000000000001,0.8000000000000002,1.0,0.11428571428571424,0.03333333333333339,0.20000000000000004,1.0,0.4000000000000001,0.4000000000000001,0.049999999999999975,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#araxe,0.10000000000000002,0.26666666666666666,0.3333333333333333,0.20000000000000004,28.03333333333333,13.066666666666668,0.13333333333333333,0.16666666666666666,0.23333333333333334,0.20000000000000004,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#soldat,0.20000000000000004,0.4083333333333334,0.1666666666666667,0.4000000000000001,13.066666666666668,26.133333333333336,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.8999999999999999,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667
#zorote,0.4000000000000001,0.004166666666666665,0.0833333333333333,0.8000000000000002,0.13333333333333333,0.26666666666666666,22.533333333333335,8.16666666666667,0.00476190476190476,0.049999999999999975,0.13333333333333333,0.6666666666666666,0.26666666666666666,2.016666666666667,0.4083333333333334,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.633333333333334,5.633333333333334
#soldats,0.5,1.3333333333333333,0.26666666666666655,1.0,0.16666666666666666,0.3333333333333333,8.16666666666667,20.83333333333334,1.1666666666666667,1.0,0.16666666666666666,0.8333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,4.166666666666668,0.16666666666666666,0.16666666666666666
#pharnabaze,0.7000000000000001,0.00952380952380952,0.1904761904761907,0.11428571428571435,0.23333333333333334,0.4666666666666667,0.00476190476190476,1.1666666666666665,17.633333333333336,4.8285714285714265,0.23333333333333334,0.02380952380952377,0.4666666666666667,0.6095238095238095,4.576190476190475,0.23333333333333334,0.23333333333333334,2.519047619047619,0.23333333333333334,0.23333333333333334,2.519047619047619,2.519047619047619
#phulter,0.2666666666666665,1.2249999999999999,0.5,0.03333333333333339,0.20000000000000004,0.8999999999999999,0.049999999999999975,1.0,4.828571428571429,19.199999999999996,0.20000000000000004,0.0,0.4000000000000001,0.8999999999999999,0.049999999999999975,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006,0.20000000000000004,3.2000000000000006,3.2000000000000006
