VALEUR,#du-croisy,#la-grange,#gorgibus,#marotte,#madelon,#cathos,#mascarille,#premier-porteur,#deuxieme-porteur,#jodelet,#lucile,#almanzor,#les-violons
Fréquences (scènes),0.17647058823529413,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.5882352941176471,0.47058823529411764,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941
Fréquences(répliques),0.019543973941368076,0.06514657980456026,0.08876221498371335,0.021172638436482084,0.27931596091205213,0.13273615635179153,0.32003257328990226,0.008957654723127036,0.004885993485342019,0.050488599348534204,0.003257328990228013,0.0008143322475570033,0.004885993485342019
Confrontation,0.06666666666666667,0.07333333333333333,0.04666666666666667,0.04,0.18,0.15333333333333332,0.18666666666666668,0.013333333333333334,0.013333333333333334,0.11333333333333333,0.03333333333333333,0.03333333333333333,0.04666666666666667
Déviations,#du-croisy,#la-grange,#gorgibus,#marotte,#madelon,#cathos,#mascarille,#premier-porteur,#deuxieme-porteur,#jodelet,#lucile,#almanzor,#les-violons
#du-croisy,11.529411764705882,7.455882352941177,0.8823529411764706,0.7058823529411764,0.33137254901960783,0.12009803921568622,0.03137254901960786,0.1764705882352941,0.1764705882352941,2.3725490196078436,0.1764705882352941,0.1764705882352941,1.1862745098039218
#la-grange,7.455882352941176,9.941176470588236,0.026470588235294128,0.9411764705882353,0.7779411764705884,0.41360294117647056,0.052941176470588255,0.23529411764705882,0.23529411764705882,1.1911764705882355,0.23529411764705882,0.23529411764705882,0.5955882352941178
#gorgibus,0.8823529411764707,0.026470588235294128,8.470588235294116,0.026470588235294128,0.3011764705882354,0.7779411764705884,1.2811764705882354,0.29411764705882354,0.29411764705882354,1.1764705882352942,0.29411764705882354,0.29411764705882354,0.28823529411764703
#marotte,0.7058823529411765,0.9411764705882353,0.026470588235294128,9.941176470588236,0.052941176470588255,0.41360294117647056,0.052941176470588255,0.23529411764705882,0.23529411764705882,0.9411764705882353,0.23529411764705882,0.23529411764705882,0.47058823529411764
#madelon,0.331372549019608,0.7779411764705884,0.3011764705882354,0.052941176470588255,2.8823529411764697,2.3058823529411763,0.21235294117647044,0.5882352941176471,0.5882352941176471,0.17794117647058819,0.28823529411764703,0.28823529411764703,0.026470588235294128
#cathos,0.12009803921568632,0.41360294117647056,0.7779411764705884,0.41360294117647056,2.3058823529411763,4.764705882352942,0.01838235294117645,0.47058823529411764,0.47058823529411764,0.6636029411764707,0.5955882352941178,0.5955882352941178,0.003676470588235296
#mascarille,0.031372549019607794,0.052941176470588255,1.2811764705882354,0.052941176470588255,0.21235294117647044,0.01838235294117645,2.8823529411764697,0.28823529411764703,0.28823529411764703,1.1529411764705881,0.28823529411764703,0.28823529411764703,0.026470588235294128
#premier-porteur,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.5882352941176471,0.47058823529411764,0.28823529411764703,15.058823529411764,15.058823529411764,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941
#premier-porteur,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.5882352941176471,0.47058823529411764,0.28823529411764703,15.058823529411764,15.058823529411764,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941
