VALEUR,#athena,#ulysse,#ajax,#le-choeur,#tecmesse,#un-messager,#premier-demi-choeur,#deuxieme-demi-choeur,#teucros,#menelas,#agamemnon
Fréquences (scènes),0.1111111111111111,0.2222222222222222,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.027777777777777776,0.06944444444444445,0.125,0.2361111111111111,0.1388888888888889,0.027777777777777776,0.06944444444444445,0.06944444444444445,0.16666666666666666,0.027777777777777776,0.041666666666666664
Déviations,#athena,#ulysse,#ajax,#le-choeur,#tecmesse,#un-messager,#premier-demi-choeur,#deuxieme-demi-choeur,#teucros,#menelas,#agamemnon
#athena,7.111111111111111,2.7222222222222223,1.3333333333333337,0.8888888888888888,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.1111111111111111
#ulysse,2.7222222222222223,5.444444444444445,0.1666666666666667,0.3402777777777777,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.01111111111111112,0.2222222222222222,2.7222222222222223
#ajax,1.3333333333333337,0.1666666666666667,4.0,0.1666666666666666,0.3333333333333334,0.3333333333333333,1.3333333333333337,1.3333333333333337,0.2666666666666667,0.3333333333333333,0.3333333333333333
#le-choeur,0.8888888888888888,0.3402777777777777,0.1666666666666666,0.11111111111111122,0.05555555555555561,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.06944444444444439,0.013888888888888902,0.013888888888888902
#tecmesse,0.4444444444444444,0.8888888888888888,0.3333333333333334,0.05555555555555561,2.777777777777778,0.6944444444444445,0.6944444444444445,0.6944444444444445,0.6722222222222223,0.4444444444444444,0.4444444444444444
#un-messager,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.013888888888888902,0.6944444444444445,7.111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.1111111111111111
#premier-demi-choeur,0.1111111111111111,0.2222222222222222,1.3333333333333337,0.013888888888888902,0.6944444444444445,0.1111111111111111,7.111111111111111,7.111111111111111,0.3555555555555555,0.1111111111111111,0.1111111111111111
#premier-demi-choeur,0.1111111111111111,0.2222222222222222,1.3333333333333337,0.013888888888888902,0.6944444444444445,0.1111111111111111,7.111111111111111,7.111111111111111,0.3555555555555555,0.1111111111111111,0.1111111111111111
#teucros,0.5555555555555556,0.01111111111111112,0.26666666666666655,0.06944444444444439,0.6722222222222223,0.5555555555555556,0.3555555555555555,0.3555555555555555,1.7777777777777781,0.3555555555555555,0.3555555555555555
#menelas,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.013888888888888902,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3555555555555555,7.111111111111111,0.1111111111111111
#agamemnon,0.1111111111111111,2.7222222222222223,0.3333333333333333,0.013888888888888902,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3555555555555555,0.1111111111111111,7.111111111111111
Successions,#athena,#ulysse,#ajax,#le-choeur,#tecmesse,#un-messager,#premier-demi-choeur,#deuxieme-demi-choeur,#teucros,#menelas,#agamemnon
#athena,0.0,0.6296296296296297,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ulysse,0.4722222222222222,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.4444444444444444
#ajax,0.23809523809523808,0.0,0.0,0.2857142857142857,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.016129032258064516,0.0,0.20967741935483872,0.0,0.4032258064516129,0.08064516129032258,0.016129032258064516,0.0,0.22580645161290322,0.016129032258064516,0.03225806451612903
#tecmesse,0.0,0.0,0.36,0.56,0.0,0.08,0.0,0.0,0.0,0.0,0.0
#un-messager,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
#premier-demi-choeur,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
#deuxieme-demi-choeur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#teucros,0.0,0.06451612903225806,0.0,0.41935483870967744,0.03225806451612903,0.0,0.0,0.0,0.0,0.4838709677419355,0.0
#menelas,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.9375,0.0,0.0
#agamemnon,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0
