VALEUR,#patrice,#emilie,#sainte-cecile,#valerian,#le-choeur,#l-ange,#tiburce,#almachie,#sainte-cecile #valerian #tiburce,#valerian #tiburce,#moustarot
Fréquences (scènes),0.42857142857142855,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857
Fréquences(répliques),0.11906976744186047,0.053488372093023255,0.24976744186046512,0.1869767441860465,0.0,0.037674418604651164,0.06372093023255813,0.21395348837209302,0.0009302325581395349,0.0037209302325581397,0.07069767441860465
Confrontation,0.051470588235294115,0.051470588235294115,0.16911764705882354,0.15441176470588236,0.1323529411764706,0.08823529411764706,0.08823529411764706,0.07352941176470588,0.058823529411764705,0.058823529411764705,0.07352941176470588
Déviations,#patrice,#emilie,#sainte-cecile,#valerian,#le-choeur,#l-ange,#tiburce,#almachie,#sainte-cecile #valerian #tiburce,#valerian #tiburce,#moustarot
#patrice,2.2857142857142865,1.5238095238095237,0.12698412698412687,0.009523809523809516,0.29761904761904756,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.8571428571428571
#emilie,1.5238095238095237,3.5714285714285716,0.04761904761904765,0.22857142857142854,0.017857142857142842,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714
#sainte-cecile,0.12698412698412687,0.04761904761904765,0.14285714285714304,0.11904761904761911,0.0952380952380953,0.04761904761904765,0.04761904761904765,0.04761904761904765,0.023809523809523826,0.023809523809523826,0.04761904761904765
#valerian,0.009523809523809516,0.22857142857142873,0.11904761904761911,0.5714285714285713,0.45714285714285746,0.22857142857142873,0.22857142857142873,0.12857142857142848,0.11428571428571437,0.11428571428571437,0.12857142857142848
#le-choeur,0.29761904761904756,0.017857142857142842,0.0952380952380953,0.4571428571428571,1.285714285714286,0.642857142857143,0.642857142857143,0.017857142857142842,0.3214285714285715,0.3214285714285715,0.017857142857142842
#l-ange,0.8571428571428571,0.5714285714285714,0.04761904761904765,0.22857142857142854,0.642857142857143,3.5714285714285716,3.5714285714285716,0.3214285714285715,1.7857142857142858,1.7857142857142858,0.3214285714285715
#l-ange,0.8571428571428571,0.5714285714285714,0.04761904761904765,0.22857142857142854,0.642857142857143,3.5714285714285716,3.5714285714285716,0.3214285714285715,1.7857142857142858,1.7857142857142858,0.3214285714285715
#almachie,0.8571428571428571,0.5714285714285714,0.04761904761904765,0.1285714285714286,0.017857142857142842,0.3214285714285715,0.3214285714285715,3.5714285714285716,1.7857142857142858,1.7857142857142858,3.5714285714285716
#sainte-cecile #valerian #tiburce,0.42857142857142855,0.2857142857142857,0.023809523809523826,0.11428571428571427,0.3214285714285715,1.7857142857142858,1.7857142857142858,1.7857142857142858,5.142857142857144,5.142857142857144,1.7857142857142858
#sainte-cecile #valerian #tiburce,0.42857142857142855,0.2857142857142857,0.023809523809523826,0.11428571428571427,0.3214285714285715,1.7857142857142858,1.7857142857142858,1.7857142857142858,5.142857142857144,5.142857142857144,1.7857142857142858
#almachie,0.8571428571428571,0.5714285714285714,0.04761904761904765,0.1285714285714286,0.017857142857142842,0.3214285714285715,0.3214285714285715,3.5714285714285716,1.7857142857142858,1.7857142857142858,3.5714285714285716
Successions,#patrice,#emilie,#sainte-cecile,#valerian,#le-choeur,#l-ange,#tiburce,#almachie,#sainte-cecile #valerian #tiburce,#valerian #tiburce,#moustarot
#patrice,0.03571428571428571,0.39285714285714285,0.35714285714285715,0.17857142857142858,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
#emilie,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sainte-cecile,0.0975609756097561,0.04878048780487805,0.0,0.4268292682926829,0.012195121951219513,0.04878048780487805,0.18292682926829268,0.17073170731707318,0.0,0.0,0.012195121951219513
#valerian,0.09090909090909091,0.05454545454545454,0.5818181818181818,0.0,0.0,0.01818181818181818,0.05454545454545454,0.16363636363636364,0.0,0.0,0.03636363636363636
#le-choeur,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ange,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#tiburce,0.0,0.0,0.6153846153846154,0.11538461538461539,0.0,0.038461538461538464,0.0,0.19230769230769232,0.0,0.0,0.038461538461538464
#almachie,0.0,0.0,0.24,0.14,0.04,0.0,0.12,0.0,0.04,0.04,0.38
#sainte-cecile #valerian #tiburce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#valerian #tiburce,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
#moustarot,0.0,0.0,0.043478260869565216,0.13043478260869565,0.0,0.0,0.043478260869565216,0.782608695652174,0.0,0.0,0.0
