VALEUR,#satan,#moloch,#uriel,#gabriel,#adam,#eve,#raphaël,#la-voix-de-dieu,#michel
Fréquences (scènes),0.4,0.15,0.05,0.1,0.5,0.3,0.1,0.05,0.05
Fréquences(répliques),0.234943351222421,0.09183064997018485,0.01311866428145498,0.0727489564698867,0.19618366129994036,0.1735241502683363,0.16338700059630293,0.03398926654740608,0.020274299344066785
Confrontation,0.16666666666666666,0.1,0.03333333333333333,0.06666666666666667,0.26666666666666666,0.23333333333333334,0.03333333333333333,0.06666666666666667,0.03333333333333333
Déviations,#satan,#moloch,#uriel,#gabriel,#adam,#eve,#raphaël,#la-voix-de-dieu,#michel
#satan,7.199999999999999,2.7,0.4000000000000001,0.049999999999999975,4.0,0.8166666666666665,0.8000000000000002,0.4000000000000001,0.4000000000000001
#moloch,2.699999999999999,14.450000000000001,0.15000000000000002,0.30000000000000004,1.5,0.8999999999999999,0.30000000000000004,0.15000000000000002,0.15000000000000002
#uriel,0.4000000000000001,0.15,18.049999999999997,8.1,0.5,0.3,0.10000000000000002,0.05000000000000001,0.05000000000000001
#gabriel,0.049999999999999975,0.3,8.1,16.2,1.0,0.6,0.20000000000000004,0.10000000000000002,0.10000000000000002
#adam,4.0,1.5,0.5,1.0,5.0,1.3333333333333333,0.0,0.5,0.5
#eve,0.816666666666667,0.8999999999999999,0.30000000000000004,0.6000000000000001,1.3333333333333333,9.8,0.6000000000000001,1.6333333333333329,0.30000000000000004
#raphaël,0.8000000000000002,0.3,0.10000000000000002,0.20000000000000004,0.0,0.6,16.2,0.10000000000000002,0.10000000000000002
#la-voix-de-dieu,0.4000000000000001,0.15,0.05000000000000001,0.10000000000000002,0.5,1.633333333333333,0.10000000000000002,18.049999999999997,0.05000000000000001
#michel,0.4000000000000001,0.15,0.05000000000000001,0.10000000000000002,0.5,0.3,0.10000000000000002,0.05000000000000001,18.049999999999997
Successions,#satan,#moloch,#uriel,#gabriel,#adam,#eve,#raphaël,#la-voix-de-dieu,#michel
#satan,0.043478260869565216,0.34782608695652173,0.0,0.17391304347826086,0.043478260869565216,0.391304347826087,0.0,0.0,0.0
#moloch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#moloch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gabriel,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
#adam,0.08695652173913043,0.0,0.0,0.0,0.0,0.43478260869565216,0.2608695652173913,0.13043478260869565,0.08695652173913043
#eve,0.4,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.0
#raphaël,0.0,0.0,0.0,0.125,0.75,0.0,0.125,0.0,0.0
#la-voix-de-dieu,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
#michel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
