VALEUR,#frontin,#le-chevalier,#la-comtesse,#la-marquise,#julie,#dorimont,#lisette,#brigantin
Fréquences (scènes),0.4375,0.5,0.5,0.625,0.1875,0.3125,0.3125,0.0625
Fréquences(répliques),0.12964930924548354,0.22848034006376194,0.10626992561105207,0.2157279489904357,0.08289054197662062,0.1594048884165781,0.06588735387885228,0.011689691817215728
Confrontation,0.13392857142857142,0.15178571428571427,0.1875,0.19642857142857142,0.0625,0.14285714285714285,0.09821428571428571,0.026785714285714284
Déviations,#frontin,#le-chevalier,#la-comtesse,#la-marquise,#julie,#dorimont,#lisette,#brigantin
#frontin,5.0625,3.5,0.6428571428571429,1.2892857142857144,0.0744047619047619,0.6446428571428572,0.01607142857142857,0.4375
#le-chevalier,3.5,4.0,0.25,0.8,0.16666666666666666,0.9,0.1,0.5
#la-comtesse,0.6428571428571429,0.25,4.0,0.8,0.16666666666666666,2.5,0.1,0.5
#la-marquise,1.2892857142857144,0.8,0.8,2.25,0.008333333333333333,1.125,0.405,0.225
#julie,0.0744047619047619,0.16666666666666666,0.16666666666666666,0.008333333333333333,10.5625,0.004166666666666667,0.004166666666666667,0.1875
#dorimont,0.6446428571428572,0.9,2.5,1.125,0.004166666666666667,7.5625,0.1225,1.5125
#lisette,0.01607142857142857,0.1,0.1,0.405,0.004166666666666667,0.1225,7.5625,0.3125
#brigantin,0.4375,0.5,0.5,0.225,0.1875,1.5125,0.3125,14.0625
Successions,#frontin,#le-chevalier,#la-comtesse,#la-marquise,#julie,#dorimont,#lisette,#brigantin
#frontin,0.0,0.7333333333333333,0.08888888888888889,0.022222222222222223,0.0,0.022222222222222223,0.13333333333333333,0.0
#le-chevalier,0.44,0.02666666666666667,0.02666666666666667,0.29333333333333333,0.02666666666666667,0.06666666666666667,0.12,0.0
#la-comtesse,0.07317073170731707,0.04878048780487805,0.0,0.5121951219512195,0.024390243902439025,0.34146341463414637,0.0,0.0
#la-marquise,0.0379746835443038,0.25316455696202533,0.24050632911392406,0.012658227848101266,0.08860759493670886,0.34177215189873417,0.0,0.02531645569620253
#julie,0.045454545454545456,0.045454545454545456,0.0,0.3181818181818182,0.0,0.09090909090909091,0.5,0.0
#dorimont,0.018518518518518517,0.12962962962962962,0.2962962962962963,0.4444444444444444,0.018518518518518517,0.0,0.037037037037037035,0.05555555555555555
#lisette,0.17857142857142858,0.35714285714285715,0.0,0.0,0.39285714285714285,0.07142857142857142,0.0,0.0
#brigantin,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0
