VALEUR,#pierrot,#blaise,#lucette,#claudine,#thomas,#tous-trois,#pierrot #claudine,#monsieur-de-bonsecours,#tous
Fréquences (scènes),0.5714285714285714,0.2857142857142857,0.35714285714285715,0.5,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0
Fréquences(répliques),0.29347826086956524,0.24782608695652175,0.14347826086956522,0.15,0.13260869565217392,0.002173913043478261,0.015217391304347827,0.015217391304347827,0.0
Confrontation,0.14444444444444443,0.1,0.13333333333333333,0.2111111111111111,0.2111111111111111,0.044444444444444446,0.1,0.05555555555555555,0.0
Déviations,#pierrot,#blaise,#lucette,#claudine,#thomas,#tous-trois,#pierrot #claudine,#monsieur-de-bonsecours,#tous
#pierrot,2.571428571428572,0.7232142857142856,0.007142857142857136,0.0,0.892857142857143,0.3214285714285715,0.017857142857142842,0.5714285714285714,0.0
#blaise,0.7232142857142856,7.142857142857143,0.1285714285714286,0.0,0.07142857142857137,0.2857142857142857,0.3214285714285715,1.7857142857142858,0.0
#lucette,0.007142857142857182,0.12857142857142848,5.785714285714286,0.1,0.014285714285714301,0.3571428571428571,0.11428571428571437,1.1571428571428575,0.0
#claudine,0.0,0.0,0.1,3.5,0.5,0.5,1.0,0.5,0.0
#thomas,0.8928571428571425,0.07142857142857152,0.014285714285714301,0.5,1.7857142857142847,0.1984126984126985,0.396825396825397,0.1984126984126985,0.0
#tous-trois,0.3214285714285715,0.2857142857142857,0.35714285714285715,0.5,0.19841269841269835,12.071428571428573,5.142857142857144,0.07142857142857142,0.0
#pierrot #claudine,0.017857142857142842,0.3214285714285715,0.11428571428571427,1.0,0.3968253968253967,5.142857142857144,10.285714285714288,5.142857142857144,0.0
#monsieur-de-bonsecours,0.5714285714285714,1.7857142857142858,1.1571428571428568,0.5,0.19841269841269835,0.07142857142857142,5.142857142857144,12.071428571428573,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#pierrot,#blaise,#lucette,#claudine,#thomas,#tous-trois,#pierrot #claudine,#monsieur-de-bonsecours,#tous
#pierrot,0.0,0.19736842105263158,0.23684210526315788,0.19736842105263158,0.3684210526315789,0.0,0.0,0.0,0.0
#blaise,0.39473684210526316,0.0,0.02631578947368421,0.0,0.5526315789473685,0.0,0.0,0.02631578947368421,0.0
#lucette,0.425,0.0,0.025,0.325,0.225,0.0,0.0,0.0,0.0
#claudine,0.4230769230769231,0.019230769230769232,0.21153846153846154,0.0,0.34615384615384615,0.0,0.0,0.0,0.0
#thomas,0.27710843373493976,0.21686746987951808,0.10843373493975904,0.27710843373493976,0.024096385542168676,0.012048192771084338,0.024096385542168676,0.060240963855421686,0.0
#tous-trois,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#tous-trois,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#monsieur-de-bonsecours,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
#tous,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
