VALEUR,#claude,#suzanne,#diocletian,#maximian,#virginie,#serene,#maxime,#artise,#curce,#macedone,#le-prevot
Fréquences (scènes),0.3157894736842105,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.2631578947368421,0.15789473684210525
Fréquences(répliques),0.11490125673249552,0.2381807301017355,0.2232196289646918,0.15798922800718132,0.013165769000598444,0.07600239377618193,0.038300418910831836,0.043686415320167565,0.031119090365050867,0.050867743865948535,0.012567324955116697
Confrontation,0.0859375,0.1640625,0.15625,0.1328125,0.015625,0.078125,0.0859375,0.046875,0.0625,0.09375,0.078125
Déviations,#claude,#suzanne,#diocletian,#maximian,#virginie,#serene,#maxime,#artise,#curce,#macedone,#le-prevot
#claude,8.894736842105264,0.08881578947368426,0.9221491228070174,0.020050125313283165,0.631578947368421,1.5789473684210527,2.3881578947368425,0.631578947368421,0.0029239766081871404,1.5789473684210527,0.0029239766081871404
#suzanne,0.08881578947368426,6.36842105263158,0.04029605263157891,0.0009398496240601563,0.8421052631578947,0.38026315789473697,1.0279605263157898,0.029605263157894756,0.05482456140350875,0.005263157894736831,0.4298245614035089
#diocletian,0.9221491228070174,0.04029605263157891,6.36842105263158,0.3759398496240603,0.8421052631578947,0.5802631578947367,0.05921052631578951,1.592105263157895,0.05482456140350875,1.705263157894737,0.4298245614035089
#maximian,0.020050125313283165,0.0009398496240601563,0.3759398496240603,7.57894736842105,0.7368421052631579,0.013533834586466174,0.1522556390977443,0.7368421052631579,3.2481203007518804,0.38496240601503756,0.010025062656641583
#virginie,0.631578947368421,0.8421052631578947,0.8421052631578947,0.7368421052631579,15.210526315789474,4.1263157894736855,0.42105263157894735,0.21052631578947367,0.3157894736842105,0.5263157894736842,0.3157894736842105
#serene,1.5789473684210527,0.38026315789473697,0.5802631578947367,0.013533834586466174,4.1263157894736855,10.31578947368421,1.0526315789473684,0.5263157894736842,0.05614035087719297,0.07578947368421048,0.7894736842105263
#maxime,2.3881578947368425,1.0279605263157898,0.05921052631578951,0.1522556390977443,0.42105263157894735,1.0526315789473684,11.842105263157896,0.7960526315789475,0.631578947368421,1.0526315789473684,0.21491228070175444
#artise,0.631578947368421,0.029605263157894756,1.592105263157895,0.7368421052631579,0.21052631578947367,0.5263157894736842,0.7960526315789475,15.210526315789474,0.3157894736842105,0.42631578947368426,1.4824561403508774
#curce,0.0029239766081871404,0.05482456140350875,0.05482456140350875,3.2481203007518804,0.3157894736842105,0.05614035087719297,0.631578947368421,0.3157894736842105,13.473684210526315,0.05614035087719297,0.47368421052631576
#macedone,1.5789473684210527,0.005263157894736831,1.705263157894737,0.38496240601503756,0.5263157894736842,0.07578947368421048,1.0526315789473684,0.42631578947368426,0.05614035087719297,10.31578947368421,1.856140350877193
#le-prevot,0.0029239766081871404,0.4298245614035089,0.4298245614035089,0.010025062656641583,0.3157894736842105,0.7894736842105263,0.21491228070175444,1.4824561403508774,0.47368421052631576,1.856140350877193,13.473684210526315
Successions,#claude,#suzanne,#diocletian,#maximian,#virginie,#serene,#maxime,#artise,#curce,#macedone,#le-prevot
#claude,0.0,0.4358974358974359,0.23076923076923078,0.0,0.0,0.0,0.3076923076923077,0.0,0.02564102564102564,0.0,0.0
#suzanne,0.48717948717948717,0.0,0.02564102564102564,0.23076923076923078,0.0,0.07692307692307693,0.1282051282051282,0.0,0.0,0.05128205128205128,0.0
#diocletian,0.1794871794871795,0.10256410256410256,0.0,0.23076923076923078,0.0,0.05128205128205128,0.1282051282051282,0.1282051282051282,0.02564102564102564,0.10256410256410256,0.05128205128205128
#maximian,0.0,0.4074074074074074,0.3333333333333333,0.0,0.0,0.07407407407407407,0.0,0.0,0.18518518518518517,0.0,0.0
#virginie,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
#serene,0.0,0.25,0.0,0.25,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
#maxime,0.6086956521739131,0.17391304347826086,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#artise,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
#curce,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#macedone,0.0,0.0,0.625,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25
#le-prevot,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
