VALEUR,#ninon,#gourvile,#lisette,#monsieur-garant,#le-jeune-gourvile,#gourvile-l-aine,#picard,#le-jeune-gourvil,#le-jeune-gourvlle,#l-avocat-placet,#gourville,#madame-armand,#monsieur-armand,#monsieur-armand-,#monsieur-garand,#monsieur-armand #madame-armand
Fréquences (scènes),0.4444444444444444,0.4444444444444444,0.3333333333333333,0.14814814814814814,0.37037037037037035,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.25925925925925924,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.31298828125,0.123046875,0.06982421875,0.107421875,0.10107421875,0.05615234375,0.0576171875,0.00048828125,0.0009765625,0.04345703125,0.00537109375,0.0625,0.03125,0.00927734375,0.01806640625,0.00048828125
Confrontation,0.09926470588235294,0.13970588235294118,0.11029411764705882,0.04044117647058824,0.1323529411764706,0.0625,0.0661764705882353,0.01838235294117647,0.01838235294117647,0.04044117647058824,0.007352941176470588,0.10294117647058823,0.10294117647058823,0.022058823529411766,0.007352941176470588,0.029411764705882353
Déviations,#ninon,#gourvile,#lisette,#monsieur-garant,#le-jeune-gourvile,#gourvile-l-aine,#picard,#le-jeune-gourvil,#le-jeune-gourvlle,#l-avocat-placet,#gourville,#madame-armand,#monsieur-armand,#monsieur-armand-,#monsieur-garand,#monsieur-armand #madame-armand
#ninon,8.333333333333336,0.08333333333333341,0.25,0.8402777777777779,0.04444444444444448,0.1666666666666666,0.1666666666666666,0.4444444444444444,0.4444444444444444,1.3333333333333333,0.4444444444444444,0.3968253968253966,0.3968253968253966,0.4444444444444444,0.4444444444444444,0.6944444444444445
#gourvile,0.08333333333333341,8.333333333333336,1.0,0.027777777777777804,0.06944444444444439,0.1666666666666666,0.6666666666666669,0.6944444444444445,0.6944444444444445,0.3333333333333334,0.6944444444444445,0.00396825396825394,0.00396825396825394,0.6944444444444445,0.4444444444444444,0.6944444444444445
#lisette,0.25,1.0,12.0,0.3333333333333334,0.8333333333333336,0.5,2.0,1.3333333333333337,1.3333333333333337,1.0,0.3333333333333333,0.04761904761904754,0.04761904761904754,0.3333333333333333,0.3333333333333333,1.3333333333333337
#monsieur-garant,0.8402777777777779,0.027777777777777804,0.3333333333333334,19.59259259259259,0.15648148148148142,0.013888888888888902,0.8888888888888888,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.14814814814814814,0.0013227513227513188,0.0013227513227513188,0.14814814814814814,0.14814814814814814,0.14814814814814814
#le-jeune-gourvile,0.04444444444444448,0.06944444444444439,0.8333333333333336,0.15648148148148142,10.703703703703706,0.27222222222222214,0.02222222222222224,1.0703703703703706,1.0703703703703706,0.711111111111111,0.37037037037037035,2.2354497354497354,2.2354497354497354,1.0703703703703706,0.37037037037037035,1.0703703703703706
#gourvile-l-aine,0.1666666666666666,0.1666666666666666,0.5,0.013888888888888902,0.27222222222222214,16.33333333333334,0.0833333333333333,0.2222222222222222,0.2222222222222222,0.1666666666666667,0.2222222222222222,0.12698412698412712,0.12698412698412712,2.7222222222222223,0.2222222222222222,2.7222222222222223
#picard,0.1666666666666666,0.6666666666666669,2.0,0.8888888888888888,0.02222222222222224,0.0833333333333333,16.33333333333334,2.7222222222222223,2.7222222222222223,0.6666666666666666,0.2222222222222222,0.1984126984126983,0.1984126984126983,0.2222222222222222,0.2222222222222222,2.7222222222222223
#le-jeune-gourvil,0.4444444444444444,0.6944444444444445,1.3333333333333337,0.14814814814814814,1.0703703703703706,0.2222222222222222,2.7222222222222223,25.03703703703704,25.03703703703704,0.1111111111111111,0.037037037037037035,0.25925925925925924,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035
#le-jeune-gourvil,0.4444444444444444,0.6944444444444445,1.3333333333333337,0.14814814814814814,1.0703703703703706,0.2222222222222222,2.7222222222222223,25.03703703703704,25.03703703703704,0.1111111111111111,0.037037037037037035,0.25925925925925924,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035
#l-avocat-placet,1.3333333333333333,0.3333333333333334,1.0,0.4444444444444444,0.711111111111111,0.1666666666666667,0.6666666666666666,0.1111111111111111,0.1111111111111111,21.333333333333332,7.111111111111111,1.9206349206349211,1.9206349206349211,7.111111111111111,0.1111111111111111,0.1111111111111111
#gourville,0.4444444444444444,0.6944444444444445,0.3333333333333333,0.14814814814814814,0.37037037037037035,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.037037037037037035,7.111111111111111,25.03703703703704,0.25925925925925924,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035
#madame-armand,0.3968253968253966,0.00396825396825394,0.04761904761904754,0.0013227513227513188,2.2354497354497354,0.12698412698412712,0.1984126984126983,0.25925925925925924,0.25925925925925924,1.9206349206349211,0.25925925925925924,14.814814814814815,14.814814814814815,2.1164021164021163,2.1164021164021163,2.1164021164021163
#madame-armand,0.3968253968253966,0.00396825396825394,0.04761904761904754,0.0013227513227513188,2.2354497354497354,0.12698412698412712,0.1984126984126983,0.25925925925925924,0.25925925925925924,1.9206349206349211,0.25925925925925924,14.814814814814815,14.814814814814815,2.1164021164021163,2.1164021164021163,2.1164021164021163
#monsieur-armand-,0.4444444444444444,0.6944444444444445,0.3333333333333333,0.14814814814814814,1.0703703703703706,2.7222222222222223,0.2222222222222222,0.037037037037037035,0.037037037037037035,7.111111111111111,0.037037037037037035,2.1164021164021163,2.1164021164021163,25.03703703703704,0.037037037037037035,0.037037037037037035
#monsieur-garand,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.14814814814814814,0.37037037037037035,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,2.1164021164021163,2.1164021164021163,0.037037037037037035,25.03703703703704,0.037037037037037035
#monsieur-armand #madame-armand,0.6944444444444445,0.6944444444444445,1.3333333333333337,0.14814814814814814,1.0703703703703706,2.7222222222222223,2.7222222222222223,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,2.1164021164021163,2.1164021164021163,0.037037037037037035,0.037037037037037035,25.03703703703704
Successions,#ninon,#gourvile,#lisette,#monsieur-garant,#le-jeune-gourvile,#gourvile-l-aine,#picard,#le-jeune-gourvil,#le-jeune-gourvlle,#l-avocat-placet,#gourville,#madame-armand,#monsieur-armand,#monsieur-armand-,#monsieur-garand,#monsieur-armand #madame-armand
#ninon,0.13675213675213677,0.19658119658119658,0.07692307692307693,0.3076923076923077,0.05982905982905983,0.05128205128205128,0.05982905982905983,0.0,0.0,0.0,0.0,0.07692307692307693,0.02564102564102564,0.0,0.0,0.008547008547008548
#gourvile,0.34285714285714286,0.02857142857142857,0.1,0.014285714285714285,0.18571428571428572,0.0,0.1,0.0,0.014285714285714285,0.15714285714285714,0.0,0.05714285714285714,0.0,0.0,0.0,0.0
#lisette,0.20408163265306123,0.10204081632653061,0.02040816326530612,0.02040816326530612,0.16326530612244897,0.0,0.42857142857142855,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0
#monsieur-garant,0.6307692307692307,0.0,0.0,0.06153846153846154,0.0,0.27692307692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.0
#le-jeune-gourvile,0.06756756756756757,0.22972972972972974,0.13513513513513514,0.02702702702702703,0.0,0.08108108108108109,0.013513513513513514,0.0,0.0,0.0945945945945946,0.0,0.1891891891891892,0.16216216216216217,0.0,0.0,0.0
