VALEUR,#zoilin,#la-fleur,#le-laquais,#laure,#nicodon,#hortense,#ariston,#clitandre,#l-exempt,#cleon
Fréquences (scènes),0.5,0.041666666666666664,0.125,0.2916666666666667,0.25,0.25,0.4583333333333333,0.2916666666666667,0.041666666666666664,0.125
Fréquences(répliques),0.2421487603305785,0.0024793388429752068,0.014049586776859505,0.16033057851239668,0.1231404958677686,0.12479338842975207,0.2066115702479339,0.0652892561983471,0.004132231404958678,0.05702479338842975
Confrontation,0.14583333333333334,0.010416666666666666,0.0625,0.09375,0.10416666666666667,0.125,0.22916666666666666,0.13541666666666666,0.020833333333333332,0.07291666666666667
Déviations,#zoilin,#la-fleur,#le-laquais,#laure,#nicodon,#hortense,#ariston,#clitandre,#l-exempt,#cleon
#zoilin,6.0,0.5,0.16666666666666666,0.07142857142857142,0.0,0.0,2.227272727272727,3.5,0.5,0.16666666666666666
#la-fleur,0.5,22.04166666666667,0.125,0.2916666666666667,0.25,0.25,0.4583333333333333,0.2916666666666667,0.041666666666666664,0.125
#le-laquais,0.16666666666666666,0.125,18.375,0.875,0.08333333333333333,0.75,0.2840909090909091,1.4464285714285714,0.125,0.375
#laure,0.07142857142857142,0.29166666666666663,0.875,12.041666666666664,0.03571428571428571,0.03571428571428571,1.5200216450216448,0.5314625850340139,0.29166666666666663,0.875
#nicodon,0.0,0.25,0.08333333333333333,0.03571428571428571,13.5,0.16666666666666666,0.20454545454545456,0.32142857142857145,0.25,0.75
#hortense,0.0,0.25,0.75,0.03571428571428571,0.16666666666666666,13.5,0.5681818181818182,1.75,0.25,2.0833333333333335
#ariston,2.227272727272727,0.4583333333333333,0.2840909090909091,1.520021645021645,0.20454545454545456,0.5681818181818182,7.04166666666667,4.4810606060606055,0.6401515151515154,1.9204545454545454
#clitandre,3.5,0.29166666666666663,1.4464285714285714,0.5314625850340139,0.32142857142857145,1.75,4.481060606060607,12.041666666666664,1.7202380952380956,0.017857142857142856
#l-exempt,0.5,0.041666666666666664,0.125,0.2916666666666667,0.25,0.25,0.6401515151515154,1.720238095238095,22.04166666666667,0.125
#cleon,0.16666666666666666,0.125,0.375,0.875,0.75,2.0833333333333335,1.9204545454545454,0.017857142857142856,0.125,18.375
Successions,#zoilin,#la-fleur,#le-laquais,#laure,#nicodon,#hortense,#ariston,#clitandre,#l-exempt,#cleon
#zoilin,0.03773584905660377,0.018867924528301886,0.03773584905660377,0.3113207547169811,0.330188679245283,0.04716981132075472,0.12264150943396226,0.0,0.0,0.09433962264150944
#la-fleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0
#laure,0.4473684210526316,0.0,0.0,0.013157894736842105,0.34210526315789475,0.18421052631578946,0.013157894736842105,0.0,0.0,0.0
#nicodon,0.45454545454545453,0.0,0.0,0.35064935064935066,0.0,0.03896103896103896,0.15584415584415584,0.0,0.0,0.0
#hortense,0.25,0.0,0.0,0.5,0.10714285714285714,0.0,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571
#ariston,0.19642857142857142,0.0,0.05357142857142857,0.017857142857142856,0.21428571428571427,0.07142857142857142,0.017857142857142856,0.32142857142857145,0.05357142857142857,0.05357142857142857
#clitandre,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.6818181818181818,0.0,0.09090909090909091,0.09090909090909091
#l-exempt,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0
#cleon,0.5555555555555556,0.0,0.0,0.0,0.0,0.05555555555555555,0.3333333333333333,0.0,0.0,0.05555555555555555
