VALEUR,#l-ordonnateur,#le-maitre-d-hotel,#le-chinois,#le-tartare,#l-espagnol,#l-allemand,#l-italienne,#un-chanteur,#tous-les-personnages-ensemble,#le-souverain-des-genies
Fréquences (scènes),0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Fréquences(répliques),0.0975609756097561,0.1951219512195122,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.21951219512195122,0.34146341463414637,0.04878048780487805,0.0
Confrontation,0.017241379310344827,0.13793103448275862,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.0
Déviations,#l-ordonnateur,#le-maitre-d-hotel,#le-chinois,#le-tartare,#l-espagnol,#l-allemand,#l-italienne,#un-chanteur,#tous-les-personnages-ensemble,#le-souverain-des-genies
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#le-maitre-d-hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#l-ordonnateur,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
#le-maitre-d-hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#l-ordonnateur,#le-maitre-d-hotel,#le-chinois,#le-tartare,#l-espagnol,#l-allemand,#l-italienne,#un-chanteur,#tous-les-personnages-ensemble,#le-souverain-des-genies
#l-ordonnateur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
#le-maitre-d-hotel,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#le-chinois,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chinois,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chinois,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-allemand,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#l-italienne,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#un-chanteur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#tous-les-personnages-ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-souverain-des-genies,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
