VALEUR,#dimas,#philoctete,#choeur,#le-grand-pretre,#oedipe,#jocaste,#araspe,#egine,#phorbas,#icare
Fréquences (scènes),0.08695652173913043,0.30434782608695654,0.21739130434782608,0.17391304347826086,0.6521739130434783,0.5652173913043478,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.08695652173913043
Fréquences(répliques),0.06086956521739131,0.14180602006688964,0.01939799331103679,0.06153846153846154,0.33645484949832777,0.2555183946488294,0.031438127090301006,0.0274247491638796,0.024080267558528427,0.04147157190635452
Confrontation,0.02,0.11,0.13,0.09,0.22,0.24,0.04,0.08,0.04,0.03
Déviations,#dimas,#philoctete,#choeur,#le-grand-pretre,#oedipe,#jocaste,#araspe,#egine,#phorbas,#icare
#dimas,19.17391304347826,0.2515527950310558,0.43478260869565216,0.34782608695652173,0.07101449275362319,1.1304347826086956,0.17391304347826086,0.34782608695652173,0.17391304347826086,0.17391304347826086
#philoctete,0.2515527950310558,11.130434782608695,0.17888198757763968,0.03881987577639754,0.06997929606625256,0.0004777830864787429,0.6086956521739131,1.2173913043478262,0.6086956521739131,0.6086956521739131
#choeur,0.43478260869565216,0.17888198757763982,14.08695652173913,5.219565217391305,0.48753623188405815,0.487625418060201,0.7347826086956523,1.4695652173913045,0.43478260869565216,0.43478260869565216
#le-grand-pretre,0.34782608695652173,0.03881987577639754,5.219565217391305,15.695652173913043,0.14202898550724638,0.2416387959866222,0.34782608695652173,0.6956521739130435,0.34782608695652173,0.34782608695652173
#oedipe,0.07101449275362319,0.06997929606625256,0.48753623188405787,0.14202898550724638,2.782608695652174,0.2577480490523967,0.07101449275362319,0.9920289855072464,0.37101449275362314,0.37101449275362314
#jocaste,1.1304347826086956,0.0004777830864787429,0.487625418060201,0.2416387959866222,0.2577480490523967,4.347826086956526,0.01505016722408025,1.3377926421404684,0.01505016722408025,1.1304347826086956
#araspe,0.17391304347826086,0.6086956521739131,0.7347826086956523,0.34782608695652173,0.07101449275362319,0.01505016722408025,19.17391304347826,1.2228260869565217,0.17391304347826086,0.17391304347826086
#egine,0.34782608695652173,1.2173913043478262,1.4695652173913045,0.6956521739130435,0.9920289855072464,1.3377926421404684,1.2228260869565217,15.695652173913043,0.34782608695652173,0.34782608695652173
#phorbas,0.17391304347826086,0.6086956521739131,0.43478260869565216,0.34782608695652173,0.37101449275362314,0.01505016722408025,0.17391304347826086,0.34782608695652173,19.17391304347826,3.9239130434782608
#icare,0.17391304347826086,0.6086956521739131,0.43478260869565216,0.34782608695652173,0.37101449275362314,1.1304347826086956,0.17391304347826086,0.34782608695652173,3.9239130434782608,19.17391304347826
Successions,#dimas,#philoctete,#choeur,#le-grand-pretre,#oedipe,#jocaste,#araspe,#egine,#phorbas,#icare
#dimas,0.0,0.9090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
#philoctete,0.3548387096774194,0.0,0.03225806451612903,0.03225806451612903,0.3548387096774194,0.22580645161290322,0.0,0.0,0.0,0.0
#choeur,0.0,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0
#le-grand-pretre,0.0,0.05555555555555555,0.2222222222222222,0.0,0.6111111111111112,0.1111111111111111,0.0,0.0,0.0,0.0
#oedipe,0.010752688172043012,0.13978494623655913,0.0,0.11827956989247312,0.07526881720430108,0.34408602150537637,0.010752688172043012,0.0,0.12903225806451613,0.17204301075268819
#jocaste,0.0,0.09230769230769231,0.07692307692307693,0.03076923076923077,0.49230769230769234,0.015384615384615385,0.015384615384615385,0.24615384615384617,0.03076923076923077,0.0
#araspe,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
#egine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#phorbas,0.0,0.0,0.0,0.0,0.631578947368421,0.10526315789473684,0.0,0.0,0.0,0.2631578947368421
#icare,0.0,0.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.23809523809523808,0.0
