VALEUR,#anitus,#drixa,#terpandre,#acros,#socrate,#aglae,#sophronime,#xantippe,#nonoti,#chomos,#bertios,#melitus,#drixa #terpandre #acros,#les-juges,#un-des-juges,#un-juge,#melitus #un-autre-juge,#plusieurs-juges,#criton,#le-geolier,#un-des-disciples,#une-des-valets-des-onze
Fréquences (scènes),0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.125,0.056818181818181816,0.04924242424242424,0.04924242424242424,0.125,0.06818181818181818,0.07196969696969698,0.07575757575757576,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.07196969696969698,0.026515151515151516,0.026515151515151516,0.026515151515151516,0.041666666666666664,0.01893939393939394,0.01893939393939394,0.03787878787878788,0.01893939393939394,0.03787878787878788,0.01893939393939394
Déviations,#anitus,#drixa,#terpandre,#acros,#socrate,#aglae,#sophronime,#xantippe,#nonoti,#chomos,#bertios,#melitus,#drixa #terpandre #acros,#les-juges,#un-des-juges,#un-juge,#melitus #un-autre-juge,#plusieurs-juges,#criton,#le-geolier,#un-des-disciples,#une-des-valets-des-onze
#anitus,5.5,0.9,1.5,1.5,0.34615384615384615,0.3333333333333333,1.7857142857142858,1.7857142857142858,0.5,0.5,0.5,2.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5
#drixa,0.9,13.136363636363638,7.881818181818184,7.881818181818184,2.9545454545454546,1.3636363636363635,1.590909090909091,0.21948051948051941,0.2272727272727273,0.2272727272727273,0.2272727272727273,0.009090909090909073,2.627272727272727,2.627272727272727,2.627272727272727,0.4545454545454546,0.2272727272727273,0.2272727272727273,0.4545454545454546,0.2272727272727273,0.4545454545454546,0.2272727272727273
#terpandre,1.5,7.881818181818184,16.40909090909091,16.40909090909091,1.772727272727273,0.8181818181818181,0.9545454545454546,0.9545454545454546,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.3787878787878789,5.469696969696971,5.469696969696971,5.469696969696971,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.2727272727272727,0.13636363636363635
#terpandre,1.5,7.881818181818184,16.40909090909091,16.40909090909091,1.772727272727273,0.8181818181818181,0.9545454545454546,0.9545454545454546,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.3787878787878789,5.469696969696971,5.469696969696971,5.469696969696971,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.2727272727272727,0.13636363636363635
#socrate,0.34615384615384615,2.9545454545454546,1.7727272727272725,1.7727272727272725,3.6818181818181803,0.5967365967365972,0.8396603396603393,0.18031968031968018,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.05594405594405598,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5664335664335663,0.2832167832167832,0.2832167832167832,0.5664335664335663,0.2832167832167832,0.5664335664335663,0.2832167832167832
#aglae,0.3333333333333333,1.3636363636363635,0.8181818181818181,0.8181818181818181,0.5967365967365963,11.636363636363635,5.004329004329004,0.004329004329004321,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.007575757575757562,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3787878787878789,0.2727272727272727,0.2727272727272727,0.3787878787878789,0.2727272727272727,0.3787878787878789,0.2727272727272727
#sophronime,1.7857142857142858,1.590909090909091,0.9545454545454545,0.9545454545454545,0.8396603396603393,5.004329004329004,10.22727272727273,0.2680890538033397,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.05844155844155843,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.2077922077922078,0.3181818181818182,0.3181818181818182,0.2077922077922078,0.3181818181818182,0.2077922077922078,0.3181818181818182
#xantippe,1.7857142857142858,0.21948051948051941,0.9545454545454545,0.9545454545454545,0.18031968031968018,0.004329004329004343,0.2680890538033397,10.22727272727273,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.05844155844155843,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.2077922077922078,0.3181818181818182,0.3181818181818182,2.9220779220779227,1.4610389610389614,2.9220779220779227,1.4610389610389614
#nonoti,0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.3181818181818182,0.3181818181818182,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#nonoti,0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.3181818181818182,0.3181818181818182,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#nonoti,0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.3181818181818182,0.3181818181818182,20.045454545454547,20.045454545454547,20.045454545454547,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#melitus,2.0,0.009090909090909097,0.3787878787878789,0.3787878787878789,0.05594405594405598,0.007575757575757562,0.05844155844155843,0.05844155844155843,0.18181818181818182,0.18181818181818182,0.18181818181818182,14.727272727272725,3.681818181818181,3.681818181818181,3.681818181818181,7.363636363636362,3.681818181818181,3.681818181818181,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.18181818181818182
#drixa #terpandre #acros,0.5,2.627272727272727,5.469696969696971,5.469696969696971,0.5909090909090909,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,3.681818181818181,20.045454545454547,20.045454545454547,20.045454545454547,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#drixa #terpandre #acros,0.5,2.627272727272727,5.469696969696971,5.469696969696971,0.5909090909090909,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,3.681818181818181,20.045454545454547,20.045454545454547,20.045454545454547,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#drixa #terpandre #acros,0.5,2.627272727272727,5.469696969696971,5.469696969696971,0.5909090909090909,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,3.681818181818181,20.045454545454547,20.045454545454547,20.045454545454547,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#un-juge,1.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.5664335664335663,0.3787878787878789,0.2077922077922078,0.2077922077922078,0.09090909090909091,0.09090909090909091,0.09090909090909091,7.363636363636362,0.09090909090909091,0.09090909090909091,0.09090909090909091,18.18181818181818,9.09090909090909,9.09090909090909,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091
#melitus #un-autre-juge,0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.2832167832167832,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,3.681818181818181,0.045454545454545456,0.045454545454545456,0.045454545454545456,9.09090909090909,20.045454545454547,20.045454545454547,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#melitus #un-autre-juge,0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.2832167832167832,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,3.681818181818181,0.045454545454545456,0.045454545454545456,0.045454545454545456,9.09090909090909,20.045454545454547,20.045454545454547,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456
#criton,1.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.5664335664335663,0.3787878787878789,0.2077922077922078,2.9220779220779227,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,18.18181818181818,9.09090909090909,18.18181818181818,9.09090909090909
#le-geolier,0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.2832167832167832,0.2727272727272727,0.3181818181818182,1.4610389610389614,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,9.09090909090909,20.045454545454547,9.09090909090909,20.045454545454547
#criton,1.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.5664335664335663,0.3787878787878789,0.2077922077922078,2.9220779220779227,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,18.18181818181818,9.09090909090909,18.18181818181818,9.09090909090909
#le-geolier,0.5,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.2832167832167832,0.2727272727272727,0.3181818181818182,1.4610389610389614,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,9.09090909090909,20.045454545454547,9.09090909090909,20.045454545454547
Successions,#anitus,#drixa,#terpandre,#acros,#socrate,#aglae,#sophronime,#xantippe,#nonoti,#chomos,#bertios,#melitus,#drixa #terpandre #acros,#les-juges,#un-des-juges,#un-juge,#melitus #un-autre-juge,#plusieurs-juges,#criton,#le-geolier,#un-des-disciples,#une-des-valets-des-onze
#anitus,0.05357142857142857,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.19642857142857142,0.23214285714285715,0.0,0.0,0.03571428571428571,0.017857142857142856,0.03571428571428571,0.10714285714285714,0.017857142857142856,0.0,0.017857142857142856,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
#drixa,0.625,0.0,0.0,0.125,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#terpandre,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acros,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#socrate,0.3,0.0,0.0,0.0,0.025,0.05,0.2,0.125,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.025,0.025,0.0,0.075,0.0,0.05,0.025
#aglae,0.4482758620689655,0.0,0.0,0.0,0.1724137931034483,0.0,0.27586206896551724,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0
#sophronime,0.0,0.0,0.0,0.0,0.21052631578947367,0.5789473684210527,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#xantippe,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0
#nonoti,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chomos,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bertios,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melitus,0.3333333333333333,0.05555555555555555,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
#drixa #terpandre #acros,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-juges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-des-juges,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-juge,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.5384615384615384,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
#melitus #un-autre-juge,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plusieurs-juges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#criton,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-geolier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-des-disciples,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melitus #un-autre-juge,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
