VALEUR,#syphax,#sophonisbe,#phaedime,#actor,#massinisse,#alamar,#lelie,#scipion
Fréquences (scènes),0.08,0.44,0.2,0.16,0.6,0.08,0.2,0.16
Fréquences(répliques),0.061014263074484945,0.26148969889064977,0.05229793977812995,0.056259904912836764,0.33201267828843106,0.02694136291600634,0.12282091917591126,0.08716323296354993
Confrontation,0.018518518518518517,0.25925925925925924,0.09259259259259259,0.09259259259259259,0.2777777777777778,0.037037037037037035,0.1111111111111111,0.1111111111111111
Déviations,#syphax,#sophonisbe,#phaedime,#actor,#massinisse,#alamar,#lelie,#scipion
#syphax,21.16,0.01636363636363636,0.4000000000000001,0.32,1.2,0.16,0.4000000000000001,0.32
#sophonisbe,0.01636363636363636,7.84,0.29090909090909073,0.8736363636363637,0.3878787878787877,0.88,0.6545454545454547,0.3281818181818182
#phaedime,0.4000000000000001,0.29090909090909073,16.0,0.8000000000000002,1.3333333333333333,0.4000000000000001,1.0,0.049999999999999975
#actor,0.32,0.8736363636363637,0.8000000000000002,17.639999999999997,0.06666666666666664,0.32,0.8000000000000002,0.64
#massinisse,1.2,0.3878787878787877,1.3333333333333333,0.06666666666666664,4.0,0.5333333333333334,0.0,0.06666666666666664
#alamar,0.16,0.88,0.4000000000000001,0.32,0.5333333333333334,21.16,0.4000000000000001,0.32
#lelie,0.4000000000000001,0.6545454545454547,1.0,0.8000000000000002,0.0,0.4000000000000001,16.0,1.7999999999999998
#scipion,0.32,0.3281818181818182,0.049999999999999975,0.64,0.06666666666666664,0.32,1.7999999999999998,17.639999999999997
Successions,#syphax,#sophonisbe,#phaedime,#actor,#massinisse,#alamar,#lelie,#scipion
#syphax,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#sophonisbe,0.125,0.0,0.16666666666666666,0.20833333333333334,0.4791666666666667,0.0,0.0,0.020833333333333332
#phaedime,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
#actor,0.0,0.8181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0
#massinisse,0.0,0.3333333333333333,0.014492753623188406,0.014492753623188406,0.043478260869565216,0.11594202898550725,0.2898550724637681,0.18840579710144928
#alamar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#lelie,0.0,0.043478260869565216,0.0,0.0,0.8695652173913043,0.0,0.0,0.08695652173913043
#scipion,0.0,0.0,0.05555555555555555,0.0,0.7777777777777778,0.0,0.1111111111111111,0.05555555555555555
