VALEUR,#fatime,#zaïre,#orosmane,#corasmin,#nerestan,#chatillon,#lusignan,#meledor,#l-esclave
Fréquences (scènes),0.24242424242424243,0.48484848484848486,0.5757575757575758,0.30303030303030304,0.21212121212121213,0.12121212121212122,0.06060606060606061,0.030303030303030304,0.06060606060606061
Fréquences(répliques),0.06754436176302232,0.2644533485975959,0.3411562678878077,0.04235832856325129,0.13909559244419004,0.061820263308528904,0.07498568975386377,0.0034344590726960505,0.005151688609044075
Confrontation,0.14,0.2,0.21,0.14,0.12,0.09,0.06,0.01,0.03
Déviations,#fatime,#zaïre,#orosmane,#corasmin,#nerestan,#chatillon,#lusignan,#meledor,#l-esclave
#fatime,18.939393939393938,0.32410037878787873,0.07974481658692194,0.07424242424242426,0.05411255411255409,0.9696969696969697,0.48484848484848486,0.24242424242424243,0.5473484848484849
#zaïre,0.32410037878787873,8.757575757575758,1.925937001594897,3.054734848484849,0.045725108225108245,0.5800189393939393,1.0946969696969697,0.48484848484848486,0.0009469696969696953
#orosmane,0.07974481658692194,1.925937001594897,5.9393939393939394,0.873365231259968,1.0227842333105492,2.303030303030303,1.1515151515151516,0.3125996810207336,0.019936204146730484
#corasmin,0.07424242424242426,3.054734848484849,0.873365231259968,16.03030303030303,0.5926406926406926,0.03712121212121213,0.25606060606060604,0.30303030303030304,0.6060606060606061
#nerestan,0.05411255411255409,0.045725108225108245,1.0227842333105492,0.5926406926406926,20.484848484848488,5.4556277056277045,0.7813852813852812,0.21212121212121215,0.4242424242424243
#chatillon,0.9696969696969697,0.5800189393939393,2.303030303030303,0.03712121212121213,5.4556277056277045,25.484848484848484,12.742424242424242,0.12121212121212122,0.24242424242424243
#lusignan,0.48484848484848486,1.0946969696969697,1.1515151515151516,0.25606060606060604,0.7813852813852812,12.742424242424242,29.12121212121212,0.06060606060606061,0.12121212121212122
#meledor,0.24242424242424243,0.48484848484848486,0.3125996810207336,0.30303030303030304,0.21212121212121215,0.12121212121212122,0.06060606060606061,31.03030303030303,0.06060606060606061
#l-esclave,0.5473484848484849,0.0009469696969696953,0.019936204146730484,0.6060606060606061,0.4242424242424243,0.24242424242424243,0.12121212121212122,0.06060606060606061,29.12121212121212
Successions,#fatime,#zaïre,#orosmane,#corasmin,#nerestan,#chatillon,#lusignan,#meledor,#l-esclave
#fatime,0.0,0.8461538461538461,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
#zaïre,0.26744186046511625,0.023255813953488372,0.3953488372093023,0.0,0.18604651162790697,0.011627906976744186,0.10465116279069768,0.0,0.011627906976744186
#orosmane,0.047058823529411764,0.4117647058823529,0.08235294117647059,0.32941176470588235,0.08235294117647059,0.0,0.011764705882352941,0.023529411764705882,0.011764705882352941
#corasmin,0.0,0.03225806451612903,0.9354838709677419,0.0,0.0,0.0,0.03225806451612903,0.0,0.0
#nerestan,0.0,0.3611111111111111,0.2222222222222222,0.027777777777777776,0.027777777777777776,0.2222222222222222,0.1388888888888889,0.0,0.0
#chatillon,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.0,0.35714285714285715,0.0,0.0
#lusignan,0.0,0.47619047619047616,0.0,0.0,0.2857142857142857,0.23809523809523808,0.0,0.0,0.0
#meledor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-esclave,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
