,"Argélie, Reine de Thessalie",Coriolan,Lyncée,Risette ou Les Millions de la Mansarde,L'Homme qui ne Peut pas Siffler,L'Avare Amoureux,Pan et Doris Pastorale,Polixène,Les Trois Spectacles Prologue,L'Epreuve Réciproque,L'Ecole des Bourgeois,L'Hiver,Le Pauvre Bougre et le Bon Génie,Un Mécontent,Les Papilllotes,Une Séduction,"Anaximandre, Comédie.",Molière et ses Amis ou La Soirée d'Auteuil,Dialogue de la Prude et de la Coquette,Adam,Les Aventures de Ninette,Les Bonnes Gens,Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],Fragment d'une Comédie Intitulée Chapelain Décoiffé.,Le Club des Dames ou Le Retour de Descartes,Dialogue d'Alcippe et de Dionice,La Déroute des Précieuses,Dialogue des Yeux et de la Bouche,Dialogue entre Voltaire et Rousseau,Le Jeu d'Esmorée,Le Jus du Pelerin,La Matinée du Comédien Français,Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,Farce Nouvelle Fort Joyeuse du Pont aux Anes,Le Portier du Parnasse,Le Prix d'un Moment,La Réception de Monseigneur le Vicomte d'Argenson,La Résurrection du Sauveur,Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,Les Sauvages ou Le Roi Bienfaisant.,Le Sérail de de Lys,Sermon Joyeux de Bien Boire,Les Vierges Sages et les Vierges Folles,Oh ! Voilà Bien le Diable !,Zélamire,Cendrillon,Le Chinois Poli en France,La Ressource Comique,La Tableau Parlant,Mademoiselle Lange,Ca n'en Est pas ou Tout ce qui Reluit n'est pas or,La Comédie à l'Impromptu,"Les Etrennes de l'Amitié, de l'Amour et de la Nature",Hurlubrelu,Janot,Janot chez le Dégraisseur,Jocrisse Changé de Condition,"On Fait ce qu'on Peut, Non pas ce qu'on Veut",Mon Ami Naze,Les Guêpes,Le Cri de la Nature,Horatius Coclès.,Le Centenaire de Molière,La Pucelle d'Orléans,La Pucelle d'Orléans,Hommage à Racine vers Dits par Madame Provost-Ponsin au Théâtre Français Représentation du 21 Décembre 1871 232ème Anniversaire de la Naissance de Racine,L'Ecole Tragique ou Cadet Roussel Maitre de Déclamation,Albert Durer,La Comédie au Chateau,L'Epreuve,La Musicomanie,"Dipné, Infante D'Irlande. Tragédie",Geneviève ou L'Innocence Reconnue Tragédie Chrétienne,Geneviève ou L'Innocence Reconnue Tragédie,Le Coligny,Ancien Pierrot,Mascarade de la Foire Saint-Germain,Arlequin Misanthrope,Les Fées ou Les Contes de ma Mère L'Oye.,Pasquin et Marforio.,Le Faucon,La Mort de César,L'Ombre de Molière,Célinde,Clarimonde,La Clorise,La Parthénie,Le Prince Fugitif,Saint Eustache Martyr,La Rapinière,"Candide Marié, ou Il Faut Cultiver son Jardin.",Le Mariage de Scarron,Molière au Théâtre,L'Autre Tartuffe,Le Barbier de Séville ou La Précaution Inutile,L'Amour Quêteur,La Cacophonie,Les Libellistes,"Le Ramoneur Prince, et le Prince Ramoneur",Le Sculpteur
Coriolan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyncée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risette ou Les Millions de la Mansarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Homme qui ne Peut pas Siffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Avare Amoureux,,,,,1.0000219765831442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan et Doris Pastorale,,,,,1.0016370137532553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polixène,,,,,0.9991373121738434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Trois Spectacles Prologue,,,,,0.9957125616073609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Epreuve Réciproque,,,,,1.0003678548378452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Ecole des Bourgeois,,,,,0.9999181697617716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Hiver,,,,,0.9992706155020094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Pauvre Bougre et le Bon Génie,,,,,0.9996922310084513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Un Mécontent,,,,,1.0009359121322632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
