,Title,Author,title,firstAuthor
0,Molière En Ménage,Abel JANNET,Molière En Ménage,Jeannet
1,Une Collaboration,Albert père LAMBERT,Une Collaboration,Lambert
2,Lami Des Femmes,Alexandre Fils DUMAS,Lami Des Femmes,Siraudin
3,Le Fils Naturel,Alexandre Fils DUMAS,Le Fils Naturel,Diderot
4,Don Juan De Marana,Alexandre Père DUMAS,Don Juan De Marana,Dumas
5,Catilina,Alexandre Père - Auguste DUMAS MAQUET,Catilina,Crébillon
6,La Fausse Alarme,Alexis PIRON,La Fausse Alarme,Piron
7,Gustave Wasa,Alexis PIRON,Gustave Wasa,Piron
8,André Del Sarto,Alfred de MUSSET,André Del Sarto,Musset
9,Barberine,Alfred de MUSSET,Barberine,Musset
10,Un Caprice,Alfred de MUSSET,Un Caprice,Musset
11,Les Caprices De Marianne,Alfred de MUSSET,Les Caprices De Marianne,Musset
12,Le Chandelier,Alfred de MUSSET,Le Chandelier,Musset
13,La Coupe Et Les Lèvres,Alfred de MUSSET,La Coupe Et Les Lèvres,Musset
14,Fantasio,Alfred de MUSSET,Fantasio,Musset
15,Il Ne Faut Jurer De Rien,Alfred de MUSSET,Il Ne Faut Jurer De Rien,Musset
16,Lorenzaccio,Alfred de MUSSET,Lorenzaccio,Musset
17,Louison,Alfred de MUSSET,Louison,Musset
18,La Nuit Vénitienne,Alfred de MUSSET,La Nuit Vénitienne,Musset
19,On Ne Badine Pas Avec Lamour,Alfred de MUSSET,On Ne Badine Pas Avec Lamour,Musset
20,Molière,Alphonse-François DERCY,Molière,Joliet
21,Molière,Alphonse-François DERCY,Molière,Joly
22,Molière,Alphonse-François DERCY,Molière,Sand
23,La Cour Bergère,André MARESCHAL,La Cour Bergère,Mareschal
24,Le Railleur,André MARESCHAL,Le Railleur,Mareschal
25,Célinde,Balthazar BARO,Célinde,Baro
26,La Clorise,Balthazar BARO,La Clorise,Baro
27,La Parthénie,Balthazar BARO,La Parthénie,Baro
28,Le Prince Fugitif,Balthazar BARO,Le Prince Fugitif,Baro
29,Saint Eustache Martyr,Balthazar BARO,Saint Eustache Martyr,Baro
30,Poinsinet Et Molière,Barthélémy IMBERT,Poinsinet Et Molière,Imbert
31,Lautre Tartuffe, BEAUMARCHAIS,Lautre Tartuffe,Beaumarchais
32,Les Deux Amis, BEAUMARCHAIS,Les Deux Amis,Carmontelle
33,Molière En Voyage,Benjamin PIFTEAU,Molière En Voyage,Pifteau
34,Lamant Ridicule, BOISROBERT,Lamant Ridicule,Boisrobert
35,Les Rivaux Amis, BOISROBERT,Les Rivaux Amis,Boisrobert
36,Lombre De Molière, BRÉCOURT,Lombre De Molière,Barbier
37,Lombre De Molière, BRÉCOURT,Lombre De Molière,Brécourt
38,Racine Chez Corneille, BRÛLEBŒUF-LETOURNAN,Racine Chez Corneille,Bruleboeuf-Letournan
39,Les Comédiens,Casimir DELAVIGNE,Les Comédiens,Delavigne
40,Les Vêpres Siciliennes,Casimir DELAVIGNE,Les Vêpres Siciliennes,Delavigne
41,Les Fragments De Molière, CHAMPMESLÉ,Les Fragments De Molière,Champmeslé
42,Les Adieux Des Officiers,Charles DUFRESNY,Les Adieux Des Officiers,Dufresny
43,Le Chevalier Joueur,Charles DUFRESNY,Le Chevalier Joueur,Dufresny
44,Le Dédit,Charles DUFRESNY,Le Dédit,Dufresny
45,Le Dédit,Charles DUFRESNY,Le Dédit,Garnier
46,Le Départ Des Comédiens,Charles DUFRESNY,Le Départ Des Comédiens,Dufresny
47,Le Double Veuvage,Charles DUFRESNY,Le Double Veuvage,Dufresny
48,Lesprit De Contradiction,Charles DUFRESNY,Lesprit De Contradiction,Dufresny
49,Le Faux Honnête Homme,Charles DUFRESNY,Le Faux Honnête Homme,Dufresny
50,Le Faux Instinct,Charles DUFRESNY,Le Faux Instinct,Dufresny
51,Le Faux Sincère,Charles DUFRESNY,Le Faux Sincère,Dufresny
