andre_mareschal-cour_bergere_ou_l_arcadie_de_messire_philippes_sidney	[vide]	1640.</p>	[vide]	[vide]	1640	[vide]
emile_augier-fils_de_giboyer	[vide]	[vide]	Représentée pour la première fois, sur le Théâtre Français, par les comédiens ordinaires de l’Empereur, le 1<sup>er</sup> décembre 1862.	[vide]	[vide]	1862-12-01
jean_francois_bayard-roman_a_vendre_ou_les_deux_libraires	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le second Théâtre-Français, le 10 février 1825.	[vide]	[vide]	1825-02-10
alfred_capus-favorites	[vide]	[vide]	Représentée pour la première fois au Théâtre des Variétés, le 1<sup>er</sup> décembre 1911.	[vide]	[vide]	1911-12-01
louis_de_boissy-billets_doux	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de bourgogne, le 15 septembre 1734.	[vide]	[vide]	1734-09-15
voltaire-enfant_prodigue	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain,  le 10 octobre 1736.	[vide]	[vide]	1736-10-10
claude_boyer-federic	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 14 novembre 1659.	[vide]	[vide]	1659-11-14
eugene_scribe_jean_henri_dupin-mon_oncle_cesar	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 3 février 1821.	[vide]	[vide]	1821-02-03
voltaire-orphelin_de_la_chine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 20 août 1755.	[vide]	[vide]	1755-08-20
eugene_scribe_pierre_carmouche-fonde_de_pouvoirs	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Gymnase, le 18 février 1824.	[vide]	[vide]	1824-02-18
georges_de_scudery-eudoxe	[vide]	Imprimée en 1641.</span></p>	Représentée pour la première fois, à Paris, sur le Théâtre du Jeu de Paume de La Fontaine, en 1633</span>	[vide]	1641	1633
eugene_scribe_jean_francois_bayard-frontiere_de_savoie	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase Dramatique, le 20 août 1834.	[vide]	[vide]	1834-08-20
pierre_corneille-polyeucte_martyr	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Jeu de paume du Marais, en 1643.	[vide]	[vide]	1643
camille_doucet-jeune_homme	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Odéon, le 29 octobre 1841.	[vide]	[vide]	1841-10-29
emile_augier-aventuriere	[vide]	[vide]	Représentée pour la première fois, en cinq actes, à la Comédie-Française, le 23 mars 1848. Reprise en quatre actes, au même théâtre, le 10 avril 1860.	[vide]	[vide]	1848-03-23
alfred_de_musset-fantasio	[vide]	Publiée en 1833 et représentée pour la première fois en 1866.	Publiée en 1833 et représentée pour la première fois en 1866.	[vide]	1833	1866
georges_courteline-lidoire	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre des Menus-Plaisirs, par la troupe du Théâtre Libre, le 6 juin 1891.	[vide]	[vide]	1891-06-06
charles_gaspard_delestre_poirson_melesville-homme_vert	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 20 décembre 1817	[vide]	[vide]	1817-12-20
thomas_sauvage_jean_henri_dupin-deux_capitaines_ou_l_oncle_neveu	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Porte Saint-Martin, le 4 mai 1824.	[vide]	[vide]	1824-05-04
eugene_labiche_marc_michel-station_champbaudet	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 7 mars 1862.	[vide]	[vide]	1862-03-07
thomas_corneille-antiochus	[vide]	[vide]	Représentée pour la première fois, à Paris, le 9 janvier 1666.	[vide]	[vide]	1666-01-09
eugene_scribe_melesville-parlementaire	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre le S. A. R. Madame, le 9 novembre 1824.	[vide]	[vide]	1824-11-09
jacques_francois_ancelot_gustave_hequet-madame_du_chatelet_ou_point_de_lendemain	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 5 mai 1832.	[vide]	[vide]	1832-05-05
alfred_de_musset-lorenzaccio	[vide]	Publié en 1834 et représenté pour la première fois, à Paris, sur le Théâtre de la Renaissance, le 3 décembre 1896.	Publié en 1834 et représenté pour la première fois, à Paris, sur le Théâtre de la Renaissance, le 3 décembre 1896.	[vide]	1834	1896-12-03
adele_regnauld _de_prebois-moulin_de_l_ermitage	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 22 novembre 1855.	[vide]	[vide]	1855-11-22
jean_francois_bayard-promenade_a_vaucluse	[vide]	[vide]	Représenté, pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 12 juillet 1821.	[vide]	[vide]	1821-07-12
edme_boursault-germanicus	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Marais, le 25 mai 1673.	[vide]	[vide]	1673-05-25
marie_alexis_justin_gensoul_jean_aime_nicolas_naudet-menage_de_moliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 15 janvier 1822.</span>	[vide]	[vide]	1822-01-15
eugene_scribe_jean_henri_dupin-nouveau_nicaise	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 15 octobre 1818.	[vide]	[vide]	1818-10-15
destouches-fete_de_la_nymphe_lutece	[vide]	[vide]	Représenté pour la première fois au château de Sceaux, en 1714.	[vide]	[vide]	1714
moliere-medecin_volant	[vide]	[vide]	fut joué à Paris, au théâtre du Louvre, pour le roi, le 18 avril 1659. La date de sa création en province ne saurait être précisée. Nous avons vu que <em>l’Amour médecin, le Médecin malgré lui</em>, et en partie, <em>le Malade imaginaire </em>n’ont pas oublié cette farce des débuts de Molière.	[vide]	[vide]	1659-04-18
eugene_labiche_edouard_martin-commode_de_victorine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 23 décembre 1863.	[vide]	[vide]	1863-12-23
pierre_corneille-heraclius	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1647.	[vide]	[vide]	1647
alexandre_dumas_pere_amedee_de_jallais-gabriel_lambert	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 16 mars 1866.	[vide]	[vide]	1866-03-16
emile_blemont-soubrette_de_moliere	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre National de l’Odéon, le 15 janvier 1897.</span>	[vide]	[vide]	1897-01-15
eugene_scribe_antoine_francois_varner-madame_schlick	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre du Gymnase, le 9 février 1852.	[vide]	[vide]	1852-02-09
eugene_labiche_eugene_leterrier_albert_vanloo-guigne	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre des Variétés, le 27 août 1875.	[vide]	[vide]	1875-08-27
eugene_labiche_hippolyte_le_roux-bras_d_ernest	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 26 janvier 1857.	[vide]	[vide]	1857-01-26
virginie_ancelot-marguerite	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le théâtre du Vaudeville, le 3 octobre 1840.	[vide]	[vide]	1840-10-03
prosper_jolyot_de_crebillon-atree_et_thyeste	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 14 mars 1707.	[vide]	[vide]	1707-03-14
georges_de_scudery-ligdamon_et_lidias_ou_la_ressemblance	[vide]	[vide]	Représentée pour la première fois, en 1629, et à Paris, sur le Théâtre de l’Hôtel de Bourgogne en 1630.	[vide]	[vide]	1629
dorimond-amours_de_trapolin	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Jeu de paume d’Orléans, en décembre 1660.	[vide]	[vide]	1660-12
jean_giraudoux-cantique_des_cantiques	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Comédie-Française, le 12 octobre 1938.	[vide]	[vide]	1938-10-12
eugene_scribe_melesville_charles_gaspard_delestre_poirson-petit_dragon	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 18 septembre 1817.	[vide]	[vide]	1817-09-18
jean_francois_cailhava_de_l_estandoux-mariage_interrompu_ou_la_fille_supposee	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 10 avril 1769.	[vide]	[vide]	1769-04-10
eugene_scribe-calomnie	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 20 février 1840.	[vide]	[vide]	1840-02-20
moliere-avare	[vide]	[vide]	Représentée pour la première fois à Paris sur le Théâtre du Palais-Royal le 9 septembre 1668 par le Troupe du Roi.	[vide]	[vide]	1668-09-09
eugene_labiche_jules_dufresnois-piece_de_chambertin	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 1<sup>er</sup> avril 1874.	[vide]	[vide]	1874-04-01
hippolyte_pellet_desbarreaux-moliere_a_toulouse	[vide]	[vide]	Représentée pour la première fois, à Toulouse, sur le Théâtre du Capitole, le 15 mars 1787.</span>	[vide]	[vide]	1787-03-15
thomas_corneille-illustres_ennemis	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1654.	[vide]	[vide]	1654
pierre_corneille-sophonisbe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 18 janvier 1663.	[vide]	[vide]	1663-01-18
jean_de_rotrou-diane	[vide]	[vide]	Représentée pour la première fois, en 1630.	[vide]	[vide]	1630
ernest_d_hervilly-magister	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Comédie-Française, le 15 janvier 1877.</span>	[vide]	[vide]	1877-01-15
jean_racine-phedre	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 1<sup>er</sup> janvier 1677.	[vide]	[vide]	1677-01-01
melesville-incognito_ou_le_diner_d_auberge	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 18 janvier 1816.	[vide]	[vide]	1816-01-18
jacques_francois_ancelot_joseph_xavier_boniface_saintine-fete_de_ma_femme	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 23 juin 1831.	[vide]	[vide]	1831-06-23
pierre_corneille-menteur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Jeu de paume du Marais, en 1644.	[vide]	[vide]	1644
charles_desnoyers_dubois_davesnes-lecon_de_dessin_ou_mon_ami_polycarpe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 8 juillet 1830.	[vide]	[vide]	1830-07-08
gaspard_abeille-hercule	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel Guénégaud, le 7 novembre 1681.	[vide]	[vide]	1681-11-07
jean_racine-berenice	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 21 novembre 1670.	[vide]	[vide]	1670-11-21
christophe_barthelemy_fagan_de_lugny-musulman	[vide]	[vide]	Non représentée.	[vide]	[vide]	[vide]
eugene_scribe_jean_henri_dupin-nouvelles_danaides	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 3 décembre 1817.	[vide]	[vide]	1817-12-03
pierre_corneille-suivante	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1634.	[vide]	[vide]	1634
jacques_francois_ancelot_hippolyte_leroux-trop_heureuse_ou_un_jeune_menage	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 25 mars 1837.	[vide]	[vide]	1837-03-25
dancourt-cephale_et_procris	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 17 octobre 1711.	[vide]	[vide]	1711-10-17
alfred_de_musset-il_faut_qu_une_porte_soit_ouverte_ou_fermee	[vide]	[vide]	représenté pour la première fois, à Paris, sur le Théâtre-Français, le 7 avril 1848.</span>	[vide]	[vide]	1848-04-07
gaspard_abeille-lyncee	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 25 février 1678.	[vide]	[vide]	1678-02-25
louis_de_boissy-medecin_par_occasion	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 12 mars 1745.	[vide]	[vide]	1745-03-12
tristan_bernard-petites_curieuses	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Boulevards, le 11 février 1920.	[vide]	[vide]	1920-02-11
eugene_labiche_marc_michel-secretaire_de_madame	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 5 octobre 1857.	[vide]	[vide]	1857-10-05
de_beaunoir-ecouteur_aux_portes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés Amusantes, le 1<sup>er</sup> mai 1784.	[vide]	[vide]	1784-05-01
eugene_scribe_rougemont_alexis_decomberousse-salvoisy_ou_l_amoureux_de_la_reine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 18 avril 1834.	[vide]	[vide]	1834-04-18
louis_de_boissy-impertinent_malgre_lui_ou_les_amants_mal_assortis	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 14 mai 1729.	[vide]	[vide]	1729-05-14
prosper_jolyot_de_crebillon-rhadamiste_et_zenobie	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 23 janvier 1711.	[vide]	[vide]	1711-01-23
eugene_scribe_jean_henri_dupin-michel_et_christine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 3 décembre 1821.	[vide]	[vide]	1821-12-03
henri_meilhac-sarabande_du_cardinal	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 29 mai 1856.	[vide]	[vide]	1856-05-29
victor_hugo-grand_mere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de l’Odéon, le 6 mai 1898.	[vide]	[vide]	1898-05-06
joseph_isidore_samson-fete_de_moliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Royal de l’Odéon, le 15 janvier 1825.</span>	[vide]	[vide]	1825-01-15
eugene_scribe_melesville-adieux_au_comptoir	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 9 août 1824.	[vide]	[vide]	1824-08-09
alexis_piron-huit_mariannes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 20 avril 1725.	[vide]	[vide]	1725-04-20
eugene_labiche_auguste_lefranc_albert_monnier-lierre_et_l_ormeau	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 25 décembre 1840.	[vide]	[vide]	1840-12-25
alexandre_dumas_fils-monsieur_alphonse	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 26 novembre 1873.	[vide]	[vide]	1873-11-26
louis_de_boissy-impatient	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 26 janvier 1724.	[vide]	[vide]	1724-01-26
eugene_scribe_melesville-bon_papa	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 2 décembre 1822.	[vide]	[vide]	1822-12-02
tristan_bernard-dramaturge_en_plein_labeur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Comédie Française, le 5 décembre 1930.	[vide]	[vide]	1930-12-05
pierre_claude_nivelle_de_la_chaussee-amour_pour_amour	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Comédie Française, le 16 février 1742.	[vide]	[vide]	1742-02-16
jean_francois_bayard_merville-comptes_de_tutelle	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de S.A.R. Madame, le 15 juin 1826.	[vide]	[vide]	1826-06-15
charles_dufresny-noce_interrompue	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 19 août 1699.	[vide]	[vide]	1699-08-19
moliere-amants_magnifiques	[vide]	[vide]	représentée pour le Roi Saint-Germain-en-Laye, au mois de févier 1670 sous le titre de divertissement royal.	[vide]	[vide]	1670-02
moliere-george_dandin_ou_le_mari_confondu	[vide]	[vide]	Représentée pour la première fois pour le Roi le 18 juillet 1668, à Versailles, et depuis donnée au public à Paris sur le théâtre du Palais-Royal le 9 novembre 1668 par la Troupe du Roi.	[vide]	[vide]	1668-07-18
eugene_labiche_alfred_delacour-cagnotte	[vide]	[vide]	Représentée pour la première fois sur le Théâtre du Palais-Royal, le 22 février 1864.	[vide]	[vide]	1864-02-22
eugene_scribe-czarine	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre-Français, le 15 janvier 1855.	[vide]	[vide]	1855-01-15
thomas_sauvage_gabriel_de_lurieu-lazarille_de_tormes_ou_le_loup_et_le_chien	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 24 juin 1836.</span>	[vide]	[vide]	1836-06-24
eugene_labiche-amour_de_l_art	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
jean_francois_regnard-retour_imprevu	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 11 février 1700.	[vide]	[vide]	1700-02-11
jean_francois_regnard-sapor	[vide]	Non représentée, 1704.</p>	représentée, 1704.	[vide]	1704	[vide]
marivaux-ecole_des_meres	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens italiens, sur le Théâtre de l’Hôtel de Bourgogne, le 26 juillet 1732.	[vide]	[vide]	1732-07-26
denis_diderot-madame_de_linan_ou_l_honnete_femme	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
victorien_sardou-monsieur_garat	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Déjazet, le 30 avril 1860.	[vide]	[vide]	1860-04-30
gautier_de_costes_sieur_de_la_calprenede-bradamante	[vide]	[vide]	Représentée pour la première fois, à Paris, en 1636.	[vide]	[vide]	1636
pierre_corneille-horace	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1639.	[vide]	[vide]	1639
marivaux-annibal	[vide]	[vide]	Représentée pour la première fois par les comédiens italiens le 3 mars 1720.	[vide]	[vide]	1720-03-03
hauteroche-nobles_de_province	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en janvier 1678.	[vide]	[vide]	1678-01
eugene_scribe_jean_henri_dupin-menage_de_garcon	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 27 avril 1821.	[vide]	[vide]	1821-04-27
eugene_scribe_jean_francois_bayard-sir_hugues_de_guilfort	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 3 octobre 1836.	[vide]	[vide]	1836-10-03
victorien_sardou-ganaches	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du gymnase, le 29 octobre 1862.	[vide]	[vide]	1862-10-29
rene_de_chazet_joseph_desessarts_d_ambreville_jean_toussaint_merle-a_bas_moliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 21 août 1809. </span>	[vide]	[vide]	1809-08-21
jean_racine-bajazet	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 1<sup>er</sup> janvier 1672.	[vide]	[vide]	1672-01-01
virginie_ancelot-hotel_de_rambouillet	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 19 novembre 1842.	[vide]	[vide]	1842-11-19
georges_feydeau-leonie_est_en_avance_ou_le_mal_joli	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de La Comédie Royale, le 9 décembre 1911.	[vide]	[vide]	1911-12-09
eugene_labiche_auguste_lefranc_marc_michel-avocat_loubet	[vide]	[vide]	Représenté, pour la première fois, à Paris, sur le Théâtre du Panthéon, le 8 août 1838.	[vide]	[vide]	1838-08-08
michel_nicolas_balisson_de_rougemont_charles_dupeuty-croix_d_or	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 2 mai 1835.	[vide]	[vide]	1835-05-02
emile_augier-maitre_guerin	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français,  par les comédiens ordinaires de l’Empereur, le 29 octobre 1864.	[vide]	[vide]	1864-10-29
moliere-critique_de_l_ecole_des_femmes	[vide]	[vide]	Représentée pour la première fois à Paris, sur le Théâtre du Palais-Royal, le vendredi 1<sup>er</sup> juin 1663, par la Troupe de Monsieur, frère unique du Roi.	[vide]	[vide]	1663-06-01
voltaire-tanis_et_zelide_ou_les_rois_pasteurs	[vide]	1735.</p>	[vide]	[vide]	1735	[vide]
georges_courteline-evasion_de_latude	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
emile_augier_jules_sandeau-gendre_de_monsieur_poirier	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de Gymnase-Dramatique, le 8 avril 1854, et reprise à la Comédie-Française, le 3 mai 1864.	[vide]	[vide]	1854-04-08
dancourt-vendanges_de_suresnes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 15 octobre 1695.	[vide]	[vide]	1695-10-15
gautier_de_costes_sieur_de_la_calprenede-jeanne_reine_d_angleterre	[vide]	[vide]	Représentée pour la première fois, à Paris, en 1637.	[vide]	[vide]	1637
destouches-prologue_de_l_ambitieux	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
